Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Atlas,Description,Abbreviations,p_star
L_bankssts,Acute Viral Infections,83240,51308,31932,-0.0233704787655931,-0.0368085567465873,-0.00993240078459886,"-0.02 (-0.04, -0.01)",0.000653115044692671,0.000751529640468279,Cortical,Volume of bankssts (left hemisphere),Acute Viral,**
L_caudalanteriorcingulate,Acute Viral Infections,83240,51308,31932,-0.00635286183889667,-0.020296312361086,0.00759058868329262,"-0.01 (-0.02, 0.01)",0.371857443502485,0.371857443502485,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Acute Viral,
L_caudalmiddlefrontal,Acute Viral Infections,83240,51308,31932,-0.0315866905329039,-0.0450329674802384,-0.0181404135855694,"-0.03 (-0.05, -0.02)",4.14616983994251e-06,5.80463777591951e-06,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Acute Viral,**
L_cuneus,Acute Viral Infections,83240,51308,31932,-0.0212390685234837,-0.0344817633554333,-0.00799637369153398,"-0.02 (-0.03, -0.01)",0.00166998878847161,0.0018703874430882,Cortical,Volume of cuneus (left hemisphere),Acute Viral,**
L_entorhinal,Acute Viral Infections,83240,51308,31932,-0.0320121085026928,-0.0455955205931952,-0.0184286964121904,"-0.03 (-0.05, -0.02)",3.85935660297118e-06,5.49467719745049e-06,Cortical,Volume of entorhinal (left hemisphere),Acute Viral,**
L_frontalpole,Acute Viral Infections,83240,51308,31932,-0.0246400704361891,-0.0383012580438713,-0.0109788828285069,"-0.02 (-0.04, -0.01)",0.000407764221959422,0.000475724925619326,Cortical,Volume of frontalpole (left hemisphere),Acute Viral,**
L_fusiform,Acute Viral Infections,83240,51308,31932,-0.0478639104718266,-0.0607379931273269,-0.0349898278163263,"-0.05 (-0.06, -0.03)",3.19827388519973e-13,1.27930955407989e-12,Cortical,Volume of fusiform (left hemisphere),Acute Viral,**
L_inferiorparietal,Acute Viral Infections,83240,51308,31932,-0.0445231231063234,-0.0577872005446621,-0.0312590456679848,"-0.04 (-0.06, -0.03)",4.76267489943959e-11,1.17666085750861e-10,Cortical,Volume of inferiorparietal (left hemisphere),Acute Viral,**
L_inferiortemporal,Acute Viral Infections,83240,51308,31932,-0.0358997835276237,-0.0485176547649611,-0.0232819122902863,"-0.04 (-0.05, -0.02)",2.46193414549954e-08,3.97697054273003e-08,Cortical,Volume of inferiortemporal (left hemisphere),Acute Viral,**
L_insula,Acute Viral Infections,81870,50506,31364,-0.0401726206910545,-0.0531348325359693,-0.0272104088461398,"-0.04 (-0.05, -0.03)",1.24974771706065e-09,2.3858820052976e-09,Cortical,Volume of grey matter in Insular Cortex (left),Acute Viral,**
L_isthmuscingulate,Acute Viral Infections,83240,51308,31932,-0.0273142059116951,-0.0400736935426482,-0.014554718280742,"-0.03 (-0.04, -0.01)",2.72249909199834e-05,3.41328244369941e-05,Cortical,Volume of isthmuscingulate (left hemisphere),Acute Viral,**
L_lateraloccipital,Acute Viral Infections,83240,51308,31932,-0.0454190336485243,-0.0579726171431505,-0.0328654501538981,"-0.05 (-0.06, -0.03)",1.33930925095842e-12,4.68758237835447e-12,Cortical,Volume of lateraloccipital (left hemisphere),Acute Viral,**
L_lateralorbitofrontal,Acute Viral Infections,83240,51308,31932,-0.0461075904357577,-0.0587431866301609,-0.0334719942413545,"-0.05 (-0.06, -0.03)",8.6186286488651e-13,3.14767307175943e-12,Cortical,Volume of lateralorbitofrontal (left hemisphere),Acute Viral,**
L_lingual,Acute Viral Infections,83240,51308,31932,-0.0315139709339238,-0.0449476398726574,-0.0180803019951901,"-0.03 (-0.04, -0.02)",4.27324101741905e-06,5.88446304038033e-06,Cortical,Volume of lingual (left hemisphere),Acute Viral,**
L_medialorbitofrontal,Acute Viral Infections,83240,51308,31932,-0.0417367568670374,-0.0545118064950645,-0.0289617072390104,"-0.04 (-0.05, -0.03)",1.52762573190303e-10,3.46812328323931e-10,Cortical,Volume of medialorbitofrontal (left hemisphere),Acute Viral,**
L_middletemporal,Acute Viral Infections,83240,51308,31932,-0.0387042843797522,-0.0512309550963693,-0.0261776136631352,"-0.04 (-0.05, -0.03)",1.40241442114267e-09,2.61639735720287e-09,Cortical,Volume of middletemporal (left hemisphere),Acute Viral,**
L_paracentral,Acute Viral Infections,83240,51308,31932,-0.0387352870051095,-0.0522934420953498,-0.0251771319148692,"-0.04 (-0.05, -0.03)",2.15464962275469e-08,3.54883467277242e-08,Cortical,Volume of paracentral (left hemisphere),Acute Viral,**
L_parahippocampal,Acute Viral Infections,83239,51307,31932,-0.0448050739238636,-0.05872256059589,-0.0308875872518372,"-0.04 (-0.06, -0.03)",2.80659000121003e-10,5.75008683174737e-10,Cortical,Volume of parahippocampal (left hemisphere),Acute Viral,**
L_parsopercularis,Acute Viral Infections,83240,51308,31932,-0.0297037124529844,-0.0431870854796231,-0.0162203394263457,"-0.03 (-0.04, -0.02)",1.57745186934642e-05,2.00766601553181e-05,Cortical,Volume of parsopercularis (left hemisphere),Acute Viral,**
L_parsorbitalis,Acute Viral Infections,83240,51308,31932,-0.0519478441601922,-0.0650578437146143,-0.0388378446057701,"-0.05 (-0.07, -0.04)",8.16702578156427e-15,4.6560479701163e-14,Cortical,Volume of parsorbitalis (left hemisphere),Acute Viral,**
L_parstriangularis,Acute Viral Infections,83240,51308,31932,-0.0408795373393854,-0.0541520317463915,-0.0276070429323793,"-0.04 (-0.05, -0.03)",1.57848629038086e-09,2.82112443387218e-09,Cortical,Volume of parstriangularis (left hemisphere),Acute Viral,**
L_pericalcarine,Acute Viral Infections,83240,51308,31932,-0.0121655747865913,-0.0257301857955431,0.00139903622236046,"-0.01 (-0.03, 0.00)",0.0787781695583144,0.0806995883280294,Cortical,Volume of pericalcarine (left hemisphere),Acute Viral,
L_postcentral,Acute Viral Infections,83240,51308,31932,-0.0319613509484732,-0.0451276163393581,-0.0187950855575883,"-0.03 (-0.05, -0.02)",1.95927669442213e-06,2.83757314364584e-06,Cortical,Volume of postcentral (left hemisphere),Acute Viral,**
L_posteriorcingulate,Acute Viral Infections,83240,51308,31932,-0.0240936949355849,-0.0373778076350692,-0.0108095822361005,"-0.02 (-0.04, -0.01)",0.000378357369805735,0.000447634071319462,Cortical,Volume of posteriorcingulate (left hemisphere),Acute Viral,**
L_precentral,Acute Viral Infections,83240,51308,31932,-0.0466147101809588,-0.0595472299787212,-0.0336821903831965,"-0.05 (-0.06, -0.03)",1.62210233954655e-12,5.45026386087642e-12,Cortical,Volume of precentral (left hemisphere),Acute Viral,**
L_precuneus,Acute Viral Infections,83240,51308,31932,-0.0464026174771479,-0.0593392866377311,-0.0334659483165646,"-0.05 (-0.06, -0.03)",2.07654969070277e-12,6.70885284688587e-12,Cortical,Volume of precuneus (left hemisphere),Acute Viral,**
L_rostralanteriorcingulate,Acute Viral Infections,83240,51308,31932,-0.0296005906935496,-0.0427765168560533,-0.0164246645310459,"-0.03 (-0.04, -0.02)",1.06772402250852e-05,1.37982796754948e-05,Cortical,Volume of rostralanteriorcingulate (left hemisphere),Acute Viral,**
L_rostralmiddlefrontal,Acute Viral Infections,83240,51308,31932,-0.0462682643843978,-0.0587703829233602,-0.0337661458454354,"-0.05 (-0.06, -0.03)",4.09333172365693e-13,1.56290847630537e-12,Cortical,Volume of rostralmiddlefrontal (left hemisphere),Acute Viral,**
L_superiorfrontal,Acute Viral Infections,83240,51308,31932,-0.0493382382589802,-0.0619073766322671,-0.0367690998856934,"-0.05 (-0.06, -0.04)",1.44556945569458e-14,7.58923964239654e-14,Cortical,Volume of superiorfrontal (left hemisphere),Acute Viral,**
L_superiorparietal,Acute Viral Infections,83240,51308,31932,-0.0456928004945491,-0.0590375413414914,-0.0323480596476068,"-0.05 (-0.06, -0.03)",1.94429375273257e-11,5.26840887837212e-11,Cortical,Volume of superiorparietal (left hemisphere),Acute Viral,**
L_superiortemporal,Acute Viral Infections,83240,51308,31932,-0.0312086068588465,-0.0439075120677733,-0.0185097016499197,"-0.03 (-0.04, -0.02)",1.4610325911896e-06,2.15310066070047e-06,Cortical,Volume of superiortemporal (left hemisphere),Acute Viral,**
L_supramarginal,Acute Viral Infections,83240,51308,31932,-0.028890994217251,-0.041628401195385,-0.016153587239117,"-0.03 (-0.04, -0.02)",8.77370981801207e-06,1.15154941361408e-05,Cortical,Volume of supramarginal (left hemisphere),Acute Viral,**
L_temporalpole,Acute Viral Infections,81870,50506,31364,-0.0666762262474503,-0.0794681068610491,-0.0538843456338515,"-0.07 (-0.08, -0.05)",1.73498534730194e-24,2.42897948622272e-23,Cortical,Volume of grey matter in Temporal Pole (left),Acute Viral,**
L_transversetemporal,Acute Viral Infections,83240,51308,31932,-0.00923451445401073,-0.0228446190828805,0.00437559017485901,"-0.01 (-0.02, 0.00)",0.183566952029326,0.185778602053776,Cortical,Volume of transversetemporal (left hemisphere),Acute Viral,
