Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Atlas,Description,Abbreviations,p_star
L_bankssts,Localised Bacterial Infections,83240,52987,30253,-0.0135757143372319,-0.0271720934945899,2.06648201261598e-05,"-0.01 (-0.03, 0.00)",0.0503492143633324,0.0758542518926377,Cortical,Volume of bankssts (left hemisphere),Localised,
L_caudalanteriorcingulate,Localised Bacterial Infections,83240,52987,30253,-0.0127609163297304,-0.0268677623709544,0.00134592971149368,"-0.01 (-0.03, 0.00)",0.0762339830822264,0.10970703471778,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Localised,
L_caudalmiddlefrontal,Localised Bacterial Infections,83240,52987,30253,-0.0165997135890453,-0.0302050168235085,-0.00299441035458213,"-0.02 (-0.03, -0.00)",0.0167878342690811,0.0300037889064428,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Localised,**
L_cuneus,Localised Bacterial Infections,83240,52987,30253,-0.00435038424183222,-0.0177492144837552,0.00904844600009078,"-0.00 (-0.02, 0.01)",0.524531843687474,0.564880447048049,Cortical,Volume of cuneus (left hemisphere),Localised,
L_entorhinal,Localised Bacterial Infections,83240,52987,30253,-0.0153274949955408,-0.0290716442863108,-0.00158334570477082,"-0.02 (-0.03, -0.00)",0.0288340104733476,0.0485821154284387,Cortical,Volume of entorhinal (left hemisphere),Localised,**
L_frontalpole,Localised Bacterial Infections,83240,52987,30253,-0.0103935916173567,-0.0242159192365787,0.00342873600186528,"-0.01 (-0.02, 0.00)",0.140538936983583,0.181619549332631,Cortical,Volume of frontalpole (left hemisphere),Localised,
L_fusiform,Localised Bacterial Infections,83240,52987,30253,-0.0179494537438938,-0.0309781681676355,-0.00492073932015217,"-0.02 (-0.03, -0.00)",0.00693012630060377,0.0141983075427004,Cortical,Volume of fusiform (left hemisphere),Localised,**
L_inferiorparietal,Localised Bacterial Infections,83240,52987,30253,-0.0354696995236055,-0.0488907264072459,-0.022048672639965,"-0.04 (-0.05, -0.02)",2.22452582696658e-07,3.11433615775322e-06,Cortical,Volume of inferiorparietal (left hemisphere),Localised,**
L_inferiortemporal,Localised Bacterial Infections,83240,52987,30253,-0.01694985320451,-0.0297176317191705,-0.00418207468984953,"-0.02 (-0.03, -0.00)",0.00927019653461275,0.0173043668646105,Cortical,Volume of inferiortemporal (left hemisphere),Localised,**
L_insula,Localised Bacterial Infections,81870,52112,29758,-0.0204200583804465,-0.0335341210578589,-0.00730599570303409,"-0.02 (-0.03, -0.01)",0.00227449714248869,0.00561934588144266,Cortical,Volume of grey matter in Insular Cortex (left),Localised,**
L_isthmuscingulate,Localised Bacterial Infections,83240,52987,30253,0.00211622893718481,-0.0107943192725558,0.0150267771469254,"0.00 (-0.01, 0.02)",0.748005363018968,0.761291774511087,Cortical,Volume of isthmuscingulate (left hemisphere),Localised,
L_lateraloccipital,Localised Bacterial Infections,83240,52987,30253,-0.0231343955252585,-0.0358381308149944,-0.0104306602355226,"-0.02 (-0.04, -0.01)",0.000358159271815709,0.00143263708726284,Cortical,Volume of lateraloccipital (left hemisphere),Localised,**
L_lateralorbitofrontal,Localised Bacterial Infections,83240,52987,30253,-0.0126612175757304,-0.0254487023249606,0.000126267173499877,"-0.01 (-0.03, 0.00)",0.0523054550180357,0.0770817231844736,Cortical,Volume of lateralorbitofrontal (left hemisphere),Localised,
L_lingual,Localised Bacterial Infections,83240,52987,30253,-0.00552214637909976,-0.0191151029972601,0.00807081023906057,"-0.01 (-0.02, 0.01)",0.425890135476721,0.476996951733928,Cortical,Volume of lingual (left hemisphere),Localised,
L_medialorbitofrontal,Localised Bacterial Infections,83240,52987,30253,-0.00956270853013161,-0.0224906644611813,0.00336524740091804,"-0.01 (-0.02, 0.00)",0.147120519057948,0.184449605983099,Cortical,Volume of medialorbitofrontal (left hemisphere),Localised,
L_middletemporal,Localised Bacterial Infections,83240,52987,30253,-0.0253904111572133,-0.0380656719328042,-0.0127151503816224,"-0.03 (-0.04, -0.01)",8.63846611125152e-05,0.000426841854908899,Cortical,Volume of middletemporal (left hemisphere),Localised,**
L_paracentral,Localised Bacterial Infections,83240,52987,30253,-0.0225430130764131,-0.036261970973666,-0.00882405517916019,"-0.02 (-0.04, -0.01)",0.00127943665612838,0.00346686061660594,Cortical,Volume of paracentral (left hemisphere),Localised,**
L_parahippocampal,Localised Bacterial Infections,83239,52986,30253,-0.0211755903181672,-0.0352590093632108,-0.00709217127312361,"-0.02 (-0.04, -0.01)",0.00320950234745856,0.00728643776179782,Cortical,Volume of parahippocampal (left hemisphere),Localised,**
L_parsopercularis,Localised Bacterial Infections,83240,52987,30253,-0.00804362457474139,-0.0216866125022771,0.00559936335279432,"-0.01 (-0.02, 0.01)",0.2478599164597,0.293242718064997,Cortical,Volume of parsopercularis (left hemisphere),Localised,
L_parsorbitalis,Localised Bacterial Infections,83240,52987,30253,-0.00844518888757779,-0.0217136858987992,0.00482330812364361,"-0.01 (-0.02, 0.00)",0.21221616251716,0.254659395020592,Cortical,Volume of parsorbitalis (left hemisphere),Localised,
L_parstriangularis,Localised Bacterial Infections,83240,52987,30253,-0.00927068411093022,-0.0227016928908565,0.00416032466899609,"-0.01 (-0.02, 0.00)",0.176099355956992,0.217534498535108,Cortical,Volume of parstriangularis (left hemisphere),Localised,
L_pericalcarine,Localised Bacterial Infections,83240,52987,30253,0.00926362583807346,-0.00446024517385671,0.0229874968500036,"0.01 (-0.00, 0.02)",0.185840085628048,0.226240104242842,Cortical,Volume of pericalcarine (left hemisphere),Localised,
L_postcentral,Localised Bacterial Infections,83240,52987,30253,-0.0137922486845586,-0.0271144720201528,-0.000470025348964445,"-0.01 (-0.03, -0.00)",0.0424468453228941,0.0685679809062135,Cortical,Volume of postcentral (left hemisphere),Localised,*
L_posteriorcingulate,Localised Bacterial Infections,83240,52987,30253,-0.013407429531783,-0.0268481124879033,3.32534243372255e-05,"-0.01 (-0.03, 0.00)",0.0505695012617585,0.0758542518926377,Cortical,Volume of posteriorcingulate (left hemisphere),Localised,
L_precentral,Localised Bacterial Infections,83240,52987,30253,-0.0228102843118332,-0.0358975428559405,-0.00972302576772578,"-0.02 (-0.04, -0.01)",0.000635445158924548,0.00213509573398648,Cortical,Volume of precentral (left hemisphere),Localised,**
L_precuneus,Localised Bacterial Infections,83240,52987,30253,-0.0178213296885832,-0.0309131070897829,-0.00472955228738356,"-0.02 (-0.03, -0.00)",0.00763049795783998,0.01490608903392,Cortical,Volume of precuneus (left hemisphere),Localised,**
L_rostralanteriorcingulate,Localised Bacterial Infections,83240,52987,30253,-0.013668800749035,-0.0270005454420516,-0.000337056056018421,"-0.01 (-0.03, -0.00)",0.0444825422518511,0.0705006330029339,Cortical,Volume of rostralanteriorcingulate (left hemisphere),Localised,*
L_rostralmiddlefrontal,Localised Bacterial Infections,83240,52987,30253,-0.0108657888546513,-0.0235183735033355,0.0017867957940328,"-0.01 (-0.02, 0.00)",0.0923396104150764,0.125105278626878,Cortical,Volume of rostralmiddlefrontal (left hemisphere),Localised,
L_superiorfrontal,Localised Bacterial Infections,83240,52987,30253,-0.0195563778576563,-0.0322768139139893,-0.00683594180132328,"-0.02 (-0.03, -0.01)",0.00258510149424911,0.00620424358619786,Cortical,Volume of superiorfrontal (left hemisphere),Localised,**
L_superiorparietal,Localised Bacterial Infections,83240,52987,30253,-0.0217823918571208,-0.0352865445637839,-0.00827823915045769,"-0.02 (-0.04, -0.01)",0.00157017269751606,0.00399680323004087,Cortical,Volume of superiorparietal (left hemisphere),Localised,**
L_superiortemporal,Localised Bacterial Infections,83240,52987,30253,-0.0190384274919739,-0.031887464977249,-0.00618939000669882,"-0.02 (-0.03, -0.01)",0.00368381216270562,0.00814316372808611,Cortical,Volume of superiortemporal (left hemisphere),Localised,**
L_supramarginal,Localised Bacterial Infections,83240,52987,30253,-0.0143652003302714,-0.0272532120953886,-0.00147718856515425,"-0.01 (-0.03, -0.00)",0.0289179258502612,0.0485821154284387,Cortical,Volume of supramarginal (left hemisphere),Localised,**
L_temporalpole,Localised Bacterial Infections,81870,52112,29758,-0.0345855483792361,-0.0475311836045055,-0.0216399131539667,"-0.03 (-0.05, -0.02)",1.64217368988553e-07,2.75885179900768e-06,Cortical,Volume of grey matter in Temporal Pole (left),Localised,**
L_transversetemporal,Localised Bacterial Infections,83240,52987,30253,-0.00210664809120483,-0.0158765748988018,0.0116632787163922,"-0.00 (-0.02, 0.01)",0.764286679302515,0.764286679302515,Cortical,Volume of transversetemporal (left hemisphere),Localised,
Laccumb,Localised Bacterial Infections,81858,52102,29756,-0.0522435495116251,-0.0662353281056146,-0.0382517709176355,"-0.05 (-0.07, -0.04)",2.53294397294685e-13,1.8891244291867e-11,SubCortical,Volume of accumbens (left),Localised,**
Lamyg,Localised Bacterial Infections,81858,52102,29756,-0.0123835559095835,-0.0261114884643144,0.00134437664514746,"-0.01 (-0.03, 0.00)",0.0770561315279648,0.10970703471778,SubCortical,Volume of amygdala (left),Localised,
Lcaud,Localised Bacterial Infections,81858,52102,29756,-0.0049399823239639,-0.0184611512309012,0.00858118658297335,"-0.00 (-0.02, 0.01)",0.473939794263209,0.517025230105319,SubCortical,Volume of caudate (left),Localised,
