Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Sex group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Bacterial Infections,44289,24615,19674,-0.0162879276869303,-0.0328044939979234,0.000228638624062846,"-0.02 (-0.03, 0.00)",0.0532567268491486,0.0791781425721855,Female,0.156,Cortical,Volume of bankssts (left hemisphere),Bacterial,
L_caudalanteriorcingulate,Bacterial Infections,44289,24615,19674,-0.0197318323237171,-0.0376420301706428,-0.00182163447679143,"-0.02 (-0.04, -0.00)",0.030826851828811,0.0517891110724026,Female,0.761,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Bacterial,*
L_caudalmiddlefrontal,Bacterial Infections,44289,24615,19674,-0.0122135847876068,-0.0291463291021452,0.00471915952693165,"-0.01 (-0.03, 0.00)",0.157439340728379,0.203460071095136,Female,0.245,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Bacterial,
L_cuneus,Bacterial Infections,44289,24615,19674,-0.0111440025002316,-0.0276141746357016,0.00532616963523844,"-0.01 (-0.03, 0.01)",0.184786364460958,0.232055872787798,Female,0.037,Cortical,Volume of cuneus (left hemisphere),Bacterial,
L_entorhinal,Bacterial Infections,44289,24615,19674,-0.0195413227479745,-0.0361825322389754,-0.00290011325697363,"-0.02 (-0.04, -0.00)",0.0213626039067066,0.0394386533662275,Female,0.529,Cortical,Volume of entorhinal (left hemisphere),Bacterial,**
L_frontalpole,Bacterial Infections,44289,24615,19674,-0.0157604116150099,-0.0332912486248601,0.00177042539484041,"-0.02 (-0.03, 0.00)",0.0780631985301438,0.111140825025967,Female,0.024,Cortical,Volume of frontalpole (left hemisphere),Bacterial,
L_fusiform,Bacterial Infections,44289,24615,19674,-0.0210593562440888,-0.0372847762399087,-0.00483393624826903,"-0.02 (-0.04, -0.00)",0.0109639467550486,0.0252320966417556,Female,0.343,Cortical,Volume of fusiform (left hemisphere),Bacterial,**
L_inferiorparietal,Bacterial Infections,44289,24615,19674,-0.0413153637183551,-0.0581662166232441,-0.0244645108134661,"-0.04 (-0.06, -0.02)",1.54775570578884e-06,2.36384507793204e-05,Female,0.262,Cortical,Volume of inferiorparietal (left hemisphere),Bacterial,**
L_inferiortemporal,Bacterial Infections,44289,24615,19674,-0.0242379290957937,-0.0400506825756116,-0.0084251756159758,"-0.02 (-0.04, -0.01)",0.00266313239067227,0.00813465893878076,Female,0.521,Cortical,Volume of inferiortemporal (left hemisphere),Bacterial,**
L_insula,Bacterial Infections,43526,24201,19325,-0.0343427439932173,-0.0509960782422806,-0.017689409744154,"-0.03 (-0.05, -0.02)",5.30932576263328e-05,0.000526362493554259,Female,0.775,Cortical,Volume of grey matter in Insular Cortex (left),Bacterial,**
L_isthmuscingulate,Bacterial Infections,44289,24615,19674,0.00376060726512768,-0.0121482471296404,0.0196694616598957,"0.00 (-0.01, 0.02)",0.643138825900554,0.68819950797002,Female,0.123,Cortical,Volume of isthmuscingulate (left hemisphere),Bacterial,
L_lateraloccipital,Bacterial Infections,44289,24615,19674,-0.0301201639625211,-0.0459189736943226,-0.0143213542307196,"-0.03 (-0.05, -0.01)",0.000186655305034368,0.00128875631271125,Female,0.376,Cortical,Volume of lateraloccipital (left hemisphere),Bacterial,**
L_lateralorbitofrontal,Bacterial Infections,44289,24615,19674,-0.0169621892401478,-0.0331064855676616,-0.000817892912633889,"-0.02 (-0.03, -0.00)",0.0394699226964284,0.0631518763142854,Female,0.675,Cortical,Volume of lateralorbitofrontal (left hemisphere),Bacterial,*
L_lingual,Bacterial Infections,44289,24615,19674,-0.00870546909929071,-0.0256232316681387,0.00821229346955724,"-0.01 (-0.03, 0.01)",0.313182879398055,0.373154069070022,Female,0.261,Cortical,Volume of lingual (left hemisphere),Bacterial,
L_medialorbitofrontal,Bacterial Infections,44289,24615,19674,-0.0226524743720472,-0.0388593235624925,-0.00644562518160185,"-0.02 (-0.04, -0.01)",0.00615505941482882,0.0154335818162872,Female,0.7,Cortical,Volume of medialorbitofrontal (left hemisphere),Bacterial,**
L_middletemporal,Bacterial Infections,44289,24615,19674,-0.0387973661134963,-0.0545142268313545,-0.0230805053956381,"-0.04 (-0.05, -0.02)",1.31367712729166e-06,2.36384507793204e-05,Female,0.32,Cortical,Volume of middletemporal (left hemisphere),Bacterial,**
L_paracentral,Bacterial Infections,44289,24615,19674,-0.0287075602188693,-0.0460129331358471,-0.0114021873018915,"-0.03 (-0.05, -0.01)",0.00114909231027964,0.00410739378993572,Female,0.822,Cortical,Volume of paracentral (left hemisphere),Bacterial,**
L_parahippocampal,Bacterial Infections,44289,24615,19674,-0.0303117237238762,-0.0482775364636381,-0.0123459109841142,"-0.03 (-0.05, -0.01)",0.000944027923088041,0.00377540720801077,Female,0.987,Cortical,Volume of parahippocampal (left hemisphere),Bacterial,**
L_parsopercularis,Bacterial Infections,44289,24615,19674,-0.0204762050844764,-0.0371028956109012,-0.00384951455805147,"-0.02 (-0.04, -0.00)",0.0157905937335359,0.0314797868678226,Female,0.465,Cortical,Volume of parsopercularis (left hemisphere),Bacterial,**
L_parsorbitalis,Bacterial Infections,44289,24615,19674,-0.00936371487160254,-0.0260491831954377,0.00732175345223263,"-0.01 (-0.03, 0.01)",0.271363419454241,0.330355467161685,Female,0.892,Cortical,Volume of parsorbitalis (left hemisphere),Bacterial,
L_parstriangularis,Bacterial Infections,44289,24615,19674,-0.0211736876522928,-0.0377652587438788,-0.00458211656070679,"-0.02 (-0.04, -0.00)",0.012376774444186,0.0277239747549765,Female,0.456,Cortical,Volume of parstriangularis (left hemisphere),Bacterial,**
L_pericalcarine,Bacterial Infections,44289,24615,19674,0.00425945680087493,-0.0129265895227623,0.0214455031245121,"0.00 (-0.01, 0.02)",0.627126690979913,0.68819950797002,Female,0.202,Cortical,Volume of pericalcarine (left hemisphere),Bacterial,
L_postcentral,Bacterial Infections,44289,24615,19674,-0.0206767023738881,-0.0374768026096997,-0.00387660213807652,"-0.02 (-0.04, -0.00)",0.0158567420744694,0.0314797868678226,Female,0.787,Cortical,Volume of postcentral (left hemisphere),Bacterial,**
L_posteriorcingulate,Bacterial Infections,44289,24615,19674,-0.0171496087125546,-0.034082305709615,-0.000216911715494272,"-0.02 (-0.03, -0.00)",0.0471366327581034,0.0726509569115723,Female,0.252,Cortical,Volume of posteriorcingulate (left hemisphere),Bacterial,*
L_precentral,Bacterial Infections,44289,24615,19674,-0.0261577073179505,-0.0426508123139878,-0.00966460232191327,"-0.03 (-0.04, -0.01)",0.00188129862359508,0.00619721899537202,Female,0.103,Cortical,Volume of precentral (left hemisphere),Bacterial,**
L_precuneus,Bacterial Infections,44289,24615,19674,-0.0276537379739567,-0.0440162326177275,-0.0112912433301859,"-0.03 (-0.04, -0.01)",0.000925189782391015,0.00377540720801077,Female,0.301,Cortical,Volume of precuneus (left hemisphere),Bacterial,**
L_rostralanteriorcingulate,Bacterial Infections,44289,24615,19674,-0.0133907773909703,-0.0304001581704221,0.00361860338848145,"-0.01 (-0.03, 0.00)",0.122828160619529,0.162481346331345,Female,0.458,Cortical,Volume of rostralanteriorcingulate (left hemisphere),Bacterial,
