Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Sex group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Chronic Infections,44289,24430,19859,-0.0222937316495195,-0.0387981178139207,-0.00578934548511829,"-0.02 (-0.04, -0.01)",0.00811072757900412,0.00896448837679403,Female,0.647,Cortical,Volume of bankssts (left hemisphere),Chronic,**
L_caudalanteriorcingulate,Chronic Infections,44289,24430,19859,-0.0180496048782373,-0.035947409193235,-0.000151800563239598,"-0.02 (-0.04, -0.00)",0.0480883638610957,0.0514576122844845,Female,0.808,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Chronic,*
L_caudalmiddlefrontal,Chronic Infections,44289,24430,19859,-0.0466896590677948,-0.0636053332711998,-0.0297739848643899,"-0.05 (-0.06, -0.03)",6.33769072389597e-08,1.20992277456196e-07,Female,0.065,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Chronic,**
L_cuneus,Chronic Infections,44289,24430,19859,-0.026342540891608,-0.0427996730221894,-0.00988540876102666,"-0.03 (-0.04, -0.01)",0.00170592110268921,0.0020041590577048,Female,0.036,Cortical,Volume of cuneus (left hemisphere),Chronic,**
L_entorhinal,Chronic Infections,44289,24430,19859,-0.0342398716085732,-0.050867359725046,-0.0176123834921004,"-0.03 (-0.05, -0.02)",5.44307497322605e-05,7.43444386586973e-05,Female,0.064,Cortical,Volume of entorhinal (left hemisphere),Chronic,**
L_frontalpole,Chronic Infections,44289,24430,19859,-0.0303806303724009,-0.0478975151428962,-0.0128637456019056,"-0.03 (-0.05, -0.01)",0.000675980456716134,0.000817012350563385,Female,0.002,Cortical,Volume of frontalpole (left hemisphere),Chronic,**
L_fusiform,Chronic Infections,44289,24430,19859,-0.0526244644904703,-0.0688322917073714,-0.0364166372735692,"-0.05 (-0.07, -0.04)",1.98622533845909e-10,6.2959595634175e-10,Female,0.752,Cortical,Volume of fusiform (left hemisphere),Chronic,**
L_inferiorparietal,Chronic Infections,44289,24430,19859,-0.0511270311901483,-0.0679637365234329,-0.0342903258568638,"-0.05 (-0.07, -0.03)",2.67085935534744e-09,7.12229161425984e-09,Female,0.363,Cortical,Volume of inferiorparietal (left hemisphere),Chronic,**
L_inferiortemporal,Chronic Infections,44289,24430,19859,-0.0433169775695383,-0.0591151123853501,-0.0275188427537265,"-0.04 (-0.06, -0.03)",7.73194699917701e-08,1.44329677317971e-07,Female,0.281,Cortical,Volume of inferiortemporal (left hemisphere),Chronic,**
L_insula,Chronic Infections,43526,24039,19487,-0.0428046240910384,-0.0594452699662652,-0.0261639782158116,"-0.04 (-0.06, -0.03)",4.63159653717829e-07,7.70404176481141e-07,Female,0.42,Cortical,Volume of grey matter in Insular Cortex (left),Chronic,**
L_isthmuscingulate,Chronic Infections,44289,24430,19859,-0.028477807263327,-0.0443733423833678,-0.0125822721432863,"-0.03 (-0.04, -0.01)",0.000446046574948028,0.000555080182157546,Female,0.227,Cortical,Volume of isthmuscingulate (left hemisphere),Chronic,**
L_lateraloccipital,Chronic Infections,44289,24430,19859,-0.0564004426151334,-0.0721819315304483,-0.0406189536998185,"-0.06 (-0.07, -0.04)",2.50895519731347e-12,1.27728628226868e-11,Female,0.058,Cortical,Volume of lateraloccipital (left hemisphere),Chronic,**
L_lateralorbitofrontal,Chronic Infections,44289,24430,19859,-0.0484914289079023,-0.0646188638153417,-0.032363994000463,"-0.05 (-0.06, -0.03)",3.81257607065706e-09,9.70473908894524e-09,Female,0.426,Cortical,Volume of lateralorbitofrontal (left hemisphere),Chronic,**
L_lingual,Chronic Infections,44289,24430,19859,-0.0459915152342865,-0.0628921915489012,-0.0290908389196718,"-0.05 (-0.06, -0.03)",9.66699229733313e-08,1.76527685429562e-07,Female,0.146,Cortical,Volume of lingual (left hemisphere),Chronic,**
L_medialorbitofrontal,Chronic Infections,44289,24430,19859,-0.0658199522739761,-0.082005211692768,-0.0496346928551842,"-0.07 (-0.08, -0.05)",1.61493601672176e-15,1.69568281755784e-14,Female,0.269,Cortical,Volume of medialorbitofrontal (left hemisphere),Chronic,**
L_middletemporal,Chronic Infections,44289,24430,19859,-0.0503595813565587,-0.0660625783882304,-0.034656584324887,"-0.05 (-0.07, -0.03)",3.2923294797555e-10,9.87698843926649e-10,Female,0.293,Cortical,Volume of middletemporal (left hemisphere),Chronic,**
L_paracentral,Chronic Infections,44289,24430,19859,-0.059758945456632,-0.0770452993668445,-0.0424725915464196,"-0.06 (-0.08, -0.04)",1.25279166854155e-11,5.39664103371744e-11,Female,0.368,Cortical,Volume of paracentral (left hemisphere),Chronic,**
L_parahippocampal,Chronic Infections,44289,24430,19859,-0.0610929259542835,-0.0790393494721101,-0.0431465024364568,"-0.06 (-0.08, -0.04)",2.54853319340027e-11,9.51452392202769e-11,Female,0.612,Cortical,Volume of parahippocampal (left hemisphere),Chronic,**
L_parsopercularis,Chronic Infections,44289,24430,19859,-0.0410645693665051,-0.0576763021804664,-0.0244528365525439,"-0.04 (-0.06, -0.02)",1.2690720281127e-06,1.97411204373087e-06,Female,0.714,Cortical,Volume of parsopercularis (left hemisphere),Chronic,**
L_parsorbitalis,Chronic Infections,44289,24430,19859,-0.04706585753435,-0.0637341001001718,-0.0303976149685283,"-0.05 (-0.06, -0.03)",3.13933475978772e-08,6.67605366638402e-08,Female,0.043,Cortical,Volume of parsorbitalis (left hemisphere),Chronic,**
L_parstriangularis,Chronic Infections,44289,24430,19859,-0.0432895644300306,-0.0598657800684463,-0.0267133487916148,"-0.04 (-0.06, -0.03)",3.08969766606122e-07,5.24312331210389e-07,Female,0.852,Cortical,Volume of parstriangularis (left hemisphere),Chronic,**
L_pericalcarine,Chronic Infections,44289,24430,19859,-0.015151303027847,-0.0323247761434661,0.00202217008777214,"-0.02 (-0.03, 0.00)",0.083775584636594,0.0879643638684237,Female,0.076,Cortical,Volume of pericalcarine (left hemisphere),Chronic,
L_postcentral,Chronic Infections,44289,24430,19859,-0.0359464813032111,-0.0527325766415084,-0.0191603859649139,"-0.04 (-0.05, -0.02)",2.70681155286589e-05,3.75821769323529e-05,Female,0.031,Cortical,Volume of postcentral (left hemisphere),Chronic,**
L_posteriorcingulate,Chronic Infections,44289,24430,19859,-0.0393889292778693,-0.0563065392274165,-0.0224713193283222,"-0.04 (-0.06, -0.02)",5.04501672373484e-06,7.50055583705711e-06,Female,0.374,Cortical,Volume of posteriorcingulate (left hemisphere),Chronic,**
L_precentral,Chronic Infections,44289,24430,19859,-0.0603017851277781,-0.0767755607457193,-0.0438280095098369,"-0.06 (-0.08, -0.04)",7.36599806883794e-13,4.41959884130276e-12,Female,0.05,Cortical,Volume of precentral (left hemisphere),Chronic,**
L_precuneus,Chronic Infections,44289,24430,19859,-0.0576064364976943,-0.0739506882563405,-0.0412621847390482,"-0.06 (-0.07, -0.04)",4.97398780085898e-12,2.38751414441231e-11,Female,0.205,Cortical,Volume of precuneus (left hemisphere),Chronic,**
L_rostralanteriorcingulate,Chronic Infections,44289,24430,19859,-0.0348694387521091,-0.051864257472389,-0.0178746200318292,"-0.03 (-0.05, -0.02)",5.79238114491905e-05,7.84774219634194e-05,Female,0.169,Cortical,Volume of rostralanteriorcingulate (left hemisphere),Chronic,**
L_rostralmiddlefrontal,Chronic Infections,44289,24430,19859,-0.0582358817763217,-0.0737988772709663,-0.0426728862816772,"-0.06 (-0.07, -0.04)",2.26724122072421e-13,1.41072787067284e-12,Female,0.15,Cortical,Volume of rostralmiddlefrontal (left hemisphere),Chronic,**
L_superiorfrontal,Chronic Infections,44289,24430,19859,-0.0598768253104711,-0.0756591145082283,-0.044094536112714,"-0.06 (-0.08, -0.04)",1.05523315098361e-13,7.70778997240203e-13,Female,0.088,Cortical,Volume of superiorfrontal (left hemisphere),Chronic,**
L_superiorparietal,Chronic Infections,44289,24430,19859,-0.0603567057757219,-0.0774794063284713,-0.0432340052229725,"-0.06 (-0.08, -0.04)",4.94770933108697e-12,2.38751414441231e-11,Female,0.126,Cortical,Volume of superiorparietal (left hemisphere),Chronic,**
L_superiortemporal,Chronic Infections,44289,24430,19859,-0.0481724693245371,-0.0640983507168784,-0.0322465879321959,"-0.05 (-0.06, -0.03)",3.07703828982338e-09,7.95296050292813e-09,Female,0.965,Cortical,Volume of superiortemporal (left hemisphere),Chronic,**
L_supramarginal,Chronic Infections,44289,24430,19859,-0.0396655368146096,-0.0554571585047687,-0.0238739151244504,"-0.04 (-0.06, -0.02)",8.54506966812706e-07,1.38035740792822e-06,Female,0.148,Cortical,Volume of supramarginal (left hemisphere),Chronic,**
L_temporalpole,Chronic Infections,43526,24039,19487,-0.0811028822762055,-0.0972877481260642,-0.0649180164263469,"-0.08 (-0.10, -0.06)",9.58696652880104e-23,2.01326297104822e-21,Female,0.155,Cortical,Volume of grey matter in Temporal Pole (left),Chronic,**
L_transversetemporal,Chronic Infections,44289,24430,19859,-0.0159525269384936,-0.0330432133272215,0.00113815945023424,"-0.02 (-0.03, 0.00)",0.067333016827825,0.0715946001713582,Female,0.556,Cortical,Volume of transversetemporal (left hemisphere),Chronic,
Laccumb,Chronic Infections,43521,24034,19487,-0.115853146961502,-0.133374317778014,-0.098331976144991,"-0.12 (-0.13, -0.10)",2.42923992230645e-38,2.04056153473742e-36,Female,0.389,SubCortical,Volume of accumbens (left),Chronic,**
