Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Stroke,All Infectious Diseases,158680,2641,156039,1396,101171,1245,54868,1.53421602992502,1.41998543631844,1.65763589278885,"1.53 (1.42, 1.66)",2.16867651987381e-27,1.33590473624227e-24,51-60,0.125,Any,**
Stroke,Bacterial Infections,176171,2813,173358,1636,121079,1177,52279,1.60524750377654,1.48697838310019,1.73292334150037,"1.61 (1.49, 1.73)",8.22061294134895e-34,5.06389757187095e-31,51-60,0.136,Bacterial,**
Stroke,Invasive Bacterial Infections,173405,2940,170465,2380,149371,560,21094,2.09394487222102,1.90671164464466,2.29956382771127,"2.09 (1.91, 2.30)",6.06780966467068e-54,3.73777075343714e-51,51-60,0.03,Invasive,**
Stroke,Localised Bacterial Infections,177161,2886,174275,1871,128719,1015,45556,1.50310101459042,1.39050354115129,1.62481618579132,"1.50 (1.39, 1.62)",1.08766249230699e-24,6.70000095261105e-22,51-60,0.028,Localised,**
Stroke,Bacterial Infections with Sepsis,168721,3026,165695,2888,161217,138,4478,3.63488782443029,3.05172201769686,4.32949312538073,"3.63 (3.05, 4.33)",2.02273296301549e-47,1.24600350521754e-44,51-60,<0.001,Sepsis,**
Stroke,Bacterial Infections without Sepsis,175757,2814,172943,1652,121233,1162,51710,1.5842040084891,1.4672632173653,1.71046497370764,"1.58 (1.47, 1.71)",6.32183995861674e-32,3.89425341450791e-29,51-60,0.152,No-Sepsis,**
Stroke,Extracellular Bacterial Infections,167826,3001,164825,2770,156899,231,7926,2.35301604839184,2.05149183823802,2.69885769018945,"2.35 (2.05, 2.70)",2.14380524062268e-34,1.32058402822357e-31,51-60,0.016,Extracellular,**
Stroke,Intracellular Bacterial Infections,164178,3013,161165,2988,160318,25,847,1.68801051526066,1.13593248146393,2.50840568971003,"1.69 (1.14, 2.51)",0.00958002431266307,1.0,51-60,0.923,Intracellular,*
Stroke,Gram Positive Bacterial Infections,166408,3017,163391,2870,159072,147,4319,2.50335516298656,2.11448406522942,2.96374286999959,"2.50 (2.11, 2.96)",1.68033069478725e-26,1.03508370798894e-23,51-60,0.013,Gram Positive,**
Stroke,Gram Negative Bacterial Infections,167140,3008,164132,2856,158678,152,5454,2.37991458157419,2.01379786443239,2.81259282057384,"2.38 (2.01, 2.81)",2.60191284015486e-24,1.6027783095354e-21,51-60,0.042,Gram Negative,**
Stroke,Mycobacterial Infections,164079,3014,161065,3010,160828,4,237,0.938756973741959,0.350780170389899,2.5122989556953,"0.94 (0.35, 2.51)",0.899866163882354,1.0,51-60,0.243,Mycobacterial,
Stroke,Mycoplasma Infections,164656,3028,161628,3024,161564,4,64,3.89072660650251,1.49102596358646,10.1525754052832,"3.89 (1.49, 10.15)",0.00549880871499195,1.0,51-60,0.322,Mycoplasma,*
Stroke,Acute Bacterial Infections,175728,2826,172902,1680,122267,1146,50635,1.60359853055949,1.48524272908789,1.73138585151788,"1.60 (1.49, 1.73)",1.48262412127753e-33,9.13296458706956e-31,51-60,0.206,Acute Bacterial,**
Stroke,Chronic Bacterial Infections,166988,3013,163975,2925,159805,88,4170,1.34291636004899,1.08444817324752,1.66298804735559,"1.34 (1.08, 1.66)",0.00686624361157371,1.0,51-60,0.054,Chronic Bacterial,*
Stroke,Viral Infections,149896,2811,147085,2449,130039,362,17046,1.27000458294896,1.13678697262292,1.41883367733347,"1.27 (1.14, 1.42)",2.36277850898786e-05,0.0145547156153652,51-60,0.487,Viral,**
Stroke,Acute Viral Infections,152276,2864,149412,2598,136643,266,12769,1.25460826730145,1.10518840715636,1.42422947453018,"1.25 (1.11, 1.42)",0.000455187004291008,0.280395194643261,51-60,0.485,Acute Viral,*
Stroke,Herpes Viral Infections,149358,2881,146477,2746,140190,135,6287,1.28848149926269,1.08334375945495,1.53246331965534,"1.29 (1.08, 1.53)",0.00417347095969837,1.0,51-60,0.635,Herpes,*
Stroke,Other Potentially Persistent Viral Infections,164885,3028,161857,3012,161162,16,695,1.30349499783319,0.796605708449862,2.13292371791117,"1.30 (0.80, 2.13)",0.291464599662481,1.0,51-60,0.295,Other Viral,
Stroke,Parasitic Infections,164437,3020,161417,2994,159968,26,1449,1.00786424736245,0.684709491625441,1.4835347742881,"1.01 (0.68, 1.48)",0.968320829869196,1.0,51-60,0.09,Parasitic,
Stroke,Fungal Infections,170276,3005,167271,2747,153202,258,14069,1.10855384340146,0.975393792383582,1.25989280772137,"1.11 (0.98, 1.26)",0.114476753116678,1.0,51-60,0.481,Fungal,
Stroke,Acute Infections,162046,2699,159347,1529,108587,1170,50760,1.57742296830236,1.45996581013456,1.70432978885889,"1.58 (1.46, 1.70)",7.83482419401747e-31,4.82625170351476e-28,51-60,0.162,Acute,**
Stroke,Chronic Infections,151573,2865,148708,2624,137498,241,11210,1.27616304830848,1.11784887739703,1.45689829707595,"1.28 (1.12, 1.46)",0.000307966932920876,0.18970763067926,51-60,0.162,Chronic,*
