Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Stroke,All Infectious Diseases,233089,8307,224782,4016,132763,4291,92019,1.4617666506603,1.39933312206817,1.52698575291675,"1.46 (1.40, 1.53)",3.69217182414864e-65,2.27437784367556e-62,61-70,0.125,Any,**
Stroke,Bacterial Infections,244350,8555,235795,4613,150516,3942,85279,1.52061972087104,1.45611688758118,1.58797989036647,"1.52 (1.46, 1.59)",4.27607147461411e-80,2.63406002836229e-77,61-70,0.136,Bacterial,**
Stroke,Invasive Bacterial Infections,233273,8726,224547,6886,184879,1840,39668,1.87167391991444,1.7749141009972,1.9737086208959,"1.87 (1.77, 1.97)",1.62728005244792e-118,1.00240451230792e-115,61-70,0.03,Invasive,**
Stroke,Localised Bacterial Infections,244416,8841,235575,5396,161112,3445,74463,1.42172235632351,1.36116002524784,1.48497929778833,"1.42 (1.36, 1.48)",1.58473596930953e-56,9.76197357094672e-54,61-70,0.028,Localised,**
Stroke,Bacterial Infections with Sepsis,220285,9040,211245,8620,200785,420,10460,2.5845026020763,2.33509143362298,2.86055338303196,"2.58 (2.34, 2.86)",4.06235560130277e-75,2.50241105040251e-72,61-70,<0.001,Sepsis,**
Stroke,Bacterial Infections without Sepsis,243495,8558,234937,4651,150722,3907,84215,1.51027604727414,1.44617499327628,1.57721835156518,"1.51 (1.45, 1.58)",1.76587160040296e-77,1.08777690584822e-74,61-70,0.152,No-Sepsis,**
Stroke,Extracellular Bacterial Infections,219712,8950,210762,8223,195369,727,15393,1.92853816406846,1.78399341936147,2.08479437754864,"1.93 (1.78, 2.08)",2.52893554733341e-61,1.55782429715738e-58,61-70,0.016,Extracellular,**
Stroke,Intracellular Bacterial Infections,209080,8949,200131,8879,198821,70,1310,1.52171221756808,1.20182516544649,1.92674287381533,"1.52 (1.20, 1.93)",0.000488859018544525,0.301137155423428,61-70,0.923,Intracellular,*
Stroke,Gram Positive Bacterial Infections,214948,9008,205940,8601,198002,407,7938,1.93271242386761,1.74540517293235,2.14012045529613,"1.93 (1.75, 2.14)",8.76136912028185e-37,5.39700337809362e-34,61-70,0.013,Gram Positive,**
Stroke,Gram Negative Bacterial Infections,217962,8975,208987,8481,197667,494,11320,1.90780762376013,1.73872960880491,2.09332716878215,"1.91 (1.74, 2.09)",2.22965274185512e-42,1.37346608898276e-39,61-70,0.042,Gram Negative,**
Stroke,Mycobacterial Infections,208664,8952,199712,8928,199331,24,381,1.81308062980231,1.21051601594767,2.71558684631767,"1.81 (1.21, 2.72)",0.00389117647858291,1.0,61-70,0.243,Mycobacterial,*
Stroke,Mycoplasma Infections,210290,9043,201247,9039,201175,4,72,1.76379341037139,0.663296662443587,4.69015957808186,"1.76 (0.66, 4.69)",0.255440489629355,1.0,61-70,0.322,Mycoplasma,
Stroke,Acute Bacterial Infections,245097,8640,236457,4737,152492,3903,83965,1.52834486379647,1.46374664369673,1.59579393930759,"1.53 (1.46, 1.60)",1.37601234945028e-82,8.47623607261374e-80,61-70,0.206,Acute Bacterial,**
Stroke,Chronic Bacterial Infections,212454,8952,203502,8728,198351,224,5151,1.29929318358028,1.13719695822359,1.48449462926392,"1.30 (1.14, 1.48)",0.000117645589730257,0.0724696832738382,61-70,0.054,Chronic Bacterial,*
Stroke,Viral Infections,208374,8748,199626,7610,173824,1138,25802,1.17682008519472,1.1055073901024,1.25273293088474,"1.18 (1.11, 1.25)",3.31020073829584e-07,0.000203908365479024,61-70,0.487,Viral,**
Stroke,Acute Viral Infections,207719,8811,198908,8039,180560,772,18348,1.17228373521184,1.08854022838449,1.26246979211944,"1.17 (1.09, 1.26)",2.62878721934903e-05,0.01619332927119,61-70,0.485,Acute Viral,**
Stroke,Herpes Viral Infections,204102,8850,195252,8370,185108,480,10144,1.1784840170837,1.07463928154854,1.29236349570292,"1.18 (1.07, 1.29)",0.000483967170494498,0.298123777024611,61-70,0.635,Herpes,*
Stroke,Other Potentially Persistent Viral Infections,210485,9043,201442,9021,200949,22,493,1.20417706785361,0.788642261919927,1.83865674052826,"1.20 (0.79, 1.84)",0.389569193660119,1.0,61-70,0.295,Other Viral,
Stroke,Parasitic Infections,210410,9026,201384,8953,199625,73,1759,1.04287211718761,0.827078252700634,1.31496898782688,"1.04 (0.83, 1.31)",0.722669714124291,1.0,61-70,0.09,Parasitic,
Stroke,Fungal Infections,220792,9031,211761,8098,190203,933,21558,1.13642365038467,1.06164794669163,1.2164660772699,"1.14 (1.06, 1.22)",0.000230860511041052,0.142210074801288,61-70,0.481,Fungal,*
Stroke,Acute Infections,236181,8447,227734,4425,141782,4022,85952,1.49887794420065,1.435182420669,1.56540036949723,"1.50 (1.44, 1.57)",1.52261052805625e-74,9.37928085282652e-72,61-70,0.162,Acute,**
Stroke,Chronic Infections,206367,8761,197606,8011,181580,750,16026,1.22157222446742,1.13308445564469,1.3169704095369,"1.22 (1.13, 1.32)",1.82219557031845e-07,0.000112247247131617,61-70,0.162,Chronic,**
