Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Sex group,P interaction,Abbreviations,p_star
PD,All Infectious Diseases,271012,1535,269477,833,172267,702,97210,1.2264632831273,1.10624707276198,1.35974342612615,"1.23 (1.11, 1.36)",0.000105164689526751,0.0647814487484788,Female,0.223,Any,*
PD,Bacterial Infections,293890,1568,292322,933,200924,635,91398,1.28082311891775,1.15497310256543,1.42038620493438,"1.28 (1.15, 1.42)",2.72824835390495e-06,0.00168060098600545,Female,0.334,Bacterial,**
PD,Invasive Bacterial Infections,288564,1603,286961,1340,250384,263,36577,1.61953522959292,1.41474666302538,1.85396751831429,"1.62 (1.41, 1.85)",2.74795837481816e-12,1.69274235888799e-09,Female,0.388,Invasive,**
PD,Localised Bacterial Infections,296404,1611,294793,1036,213179,575,81614,1.25943972548327,1.13487828317367,1.39767272459354,"1.26 (1.13, 1.40)",1.41709021231338e-05,0.00872927570785044,Female,0.4,Localised,**
PD,Bacterial Infections with Sepsis,280027,1648,278379,1609,270238,39,8141,1.64271068232517,1.19234124528416,2.26319302171094,"1.64 (1.19, 2.26)",0.00239735735142188,1.0,Female,0.058,Sepsis,*
PD,Bacterial Infections without Sepsis,293155,1569,291586,938,201192,631,90394,1.27833743848515,1.15270710361194,1.41765987345118,"1.28 (1.15, 1.42)",3.27912291611054e-06,0.00201993971632409,Female,0.428,No-Sepsis,**
PD,Extracellular Bacterial Infections,279240,1638,277602,1528,262779,110,14823,1.72133590320119,1.41233162924077,2.09794727407067,"1.72 (1.41, 2.10)",7.45319486368365e-08,4.59116803602913e-05,Female,0.65,Extracellular,**
PD,Intracellular Bacterial Infections,271450,1639,269811,1630,268568,9,1243,1.26215589160803,0.654518261510518,2.43390840011765,"1.26 (0.65, 2.43)",0.487121379091186,1.0,Female,0.778,Intracellular,
PD,Gram Positive Bacterial Infections,275530,1645,273885,1606,266659,39,7226,1.20824032767851,0.87823417087007,1.66224993042845,"1.21 (0.88, 1.66)",0.245145757054736,1.0,Female,0.282,Gram Positive,
PD,Gram Negative Bacterial Infections,278393,1642,276751,1560,265865,82,10886,1.79243697872304,1.42742950177161,2.25078038439465,"1.79 (1.43, 2.25)",5.08161226649354e-07,0.000313027315616002,Female,0.412,Gram Negative,**
PD,Mycobacterial Infections,271331,1639,269692,1636,269325,3,367,1.36056926321694,0.435018133387953,4.25533691111636,"1.36 (0.44, 4.26)",0.596637592739883,1.0,Female,0.408,Mycobacterial,
PD,Mycoplasma Infections,272706,1650,271056,1650,270979,0,77,1.0,1.0,1.0,"0.00 (0.00, 0.00)",0.0,0.0,Female,0.961,Mycoplasma,**
PD,Acute Bacterial Infections,293961,1580,292381,959,203291,621,89090,1.26957644166562,1.14476796340847,1.40799218073262,"1.27 (1.14, 1.41)",6.16284204535977e-06,0.00379631069994162,Female,0.246,Acute Bacterial,**
PD,Chronic Bacterial Infections,275764,1636,274128,1599,267503,37,6625,1.19539288853709,0.861829064100075,1.65805983748898,"1.20 (0.86, 1.66)",0.284992272934765,1.0,Female,0.418,Chronic Bacterial,
PD,Viral Infections,255504,1614,253890,1420,223194,194,30696,1.00256683946437,0.862646787100209,1.16518172051895,"1.00 (0.86, 1.17)",0.973334410121008,1.0,Female,0.248,Viral,
PD,Acute Viral Infections,259107,1623,257484,1485,234972,138,22512,1.05218649550213,0.883246383766295,1.25344008383734,"1.05 (0.88, 1.25)",0.56890298459912,1.0,Female,0.346,Acute Viral,
PD,Herpes Viral Infections,253441,1627,251814,1554,239798,73,12016,0.882922812094348,0.698031509114213,1.11678725378146,"0.88 (0.70, 1.12)",0.298978341446573,1.0,Female,0.307,Herpes,
PD,Other Potentially Persistent Viral Infections,272930,1650,271280,1640,270421,10,859,3.159512297539,1.68780661155686,5.91449155960595,"3.16 (1.69, 5.91)",0.000322892673560264,0.198901886913122,Female,0.01,Other Viral,*
PD,Parasitic Infections,272346,1649,270697,1635,268398,14,2299,1.07026290171294,0.631430145192241,1.81407664411439,"1.07 (0.63, 1.81)",0.800870257674215,1.0,Female,0.678,Parasitic,
PD,Fungal Infections,281666,1648,280018,1493,257691,155,22327,1.17662362216864,0.996444231549476,1.38938347416837,"1.18 (1.00, 1.39)",0.0551161361325302,1.0,Female,0.547,Fungal,
PD,Acute Infections,277026,1555,275471,903,184606,652,90865,1.25070280231793,1.12790791873978,1.38686631571279,"1.25 (1.13, 1.39)",2.20754878266778e-05,0.0135985005012335,Female,0.204,Acute,**
PD,Chronic Infections,256149,1613,254536,1488,234854,125,19682,1.0395246135223,0.865765954929865,1.24815652078422,"1.04 (0.87, 1.25)",0.677862381652292,1.0,Female,0.368,Chronic,
