Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Sex group,P interaction,Abbreviations,p_star
AD,All Infectious Diseases,231750,2250,229500,996,143920,1254,85580,1.51947920032689,1.39676387183043,1.65297591582203,"1.52 (1.40, 1.65)",2.08757727090884e-22,1.28594759887984e-19,Male,0.404,Any,**
AD,Bacterial Infections,253722,2308,251414,1152,170251,1156,81163,1.58256093728955,1.4567025532049,1.71929342385282,"1.58 (1.46, 1.72)",1.84682761278535e-27,1.13764580947578e-24,Male,0.602,Bacterial,**
AD,Invasive Bacterial Infections,249503,2353,247150,1794,207373,559,39777,1.69025607721667,1.53346737416675,1.86307557284699,"1.69 (1.53, 1.86)",4.20914047032437e-26,2.59283052971981e-23,Male,0.776,Invasive,**
AD,Localised Bacterial Infections,254064,2407,251657,1366,182460,1041,69197,1.57211425841332,1.44861786409295,1.70613886710144,"1.57 (1.45, 1.71)",2.25666229566705e-27,1.39010397413091e-24,Male,0.683,Localised,**
AD,Bacterial Infections with Sepsis,238493,2455,236038,2317,225633,138,10405,2.2032459127143,1.84796260118071,2.62683484437984,"2.20 (1.85, 2.63)",1.31541442477535e-18,8.10295285661615e-16,Male,0.746,Sepsis,**
AD,Bacterial Infections without Sepsis,253008,2309,250699,1165,170523,1144,80176,1.56795337335998,1.4431794629268,1.70351494334952,"1.57 (1.44, 1.70)",2.14201939267445e-26,1.31948394588746e-23,Male,0.728,No-Sepsis,**
AD,Extracellular Bacterial Infections,237647,2439,235208,2195,220252,244,14956,1.90608442750329,1.66443201210953,2.18282141795975,"1.91 (1.66, 2.18)",1.10114033395432e-20,6.78302445715859e-18,Male,0.963,Extracellular,**
AD,Intracellular Bacterial Infections,228156,2423,225733,2412,224239,11,1494,0.767057847911818,0.423442961608351,1.38950884862578,"0.77 (0.42, 1.39)",0.381671561787712,1.0,Male,0.019,Intracellular,
AD,Gram Positive Bacterial Infections,233766,2447,231319,2314,222593,133,8726,1.86409515266891,1.56018121263032,2.22720970491976,"1.86 (1.56, 2.23)",6.96287924834682e-12,4.28913361698164e-09,Male,0.371,Gram Positive,**
AD,Gram Negative Bacterial Infections,235591,2447,233144,2276,222938,171,10206,1.95817581062319,1.66987552452951,2.29625049830595,"1.96 (1.67, 2.30)",1.33912236004277e-16,8.24899373786346e-14,Male,0.95,Gram Negative,**
AD,Mycobacterial Infections,227816,2424,225392,2418,224971,6,421,1.36802142660075,0.608115008588982,3.07751428135474,"1.37 (0.61, 3.08)",0.448723161665784,1.0,Male,0.511,Mycobacterial,
AD,Mycoplasma Infections,228914,2456,226458,2456,226364,0,94,1.0,1.0,1.0,"0.00 (0.00, 0.00)",0.0,0.0,Male,1,Mycoplasma,**
AD,Acute Bacterial Infections,253752,2338,251414,1187,172168,1151,79246,1.60498759295435,1.47814413064692,1.74271582867228,"1.60 (1.48, 1.74)",1.99223627305093e-29,1.22721754419937e-26,Male,0.541,Acute Bacterial,**
AD,Chronic Bacterial Infections,231970,2423,229547,2342,223524,81,6023,1.40178129751992,1.12085120790103,1.75312369048198,"1.40 (1.12, 1.75)",0.00307881445037346,1.0,Male,0.309,Chronic Bacterial,*
AD,Viral Infections,214159,2396,211763,2079,188571,317,23192,1.19154511180991,1.05786501422811,1.34211807213803,"1.19 (1.06, 1.34)",0.00389581021413128,1.0,Male,0.145,Viral,*
AD,Acute Viral Infections,217770,2408,215362,2172,197977,236,17385,1.30509812041853,1.13943981887982,1.49484077675509,"1.31 (1.14, 1.49)",0.00012066195023856699,0.0743277613469576,Male,0.138,Acute Viral,*
AD,Herpes Viral Infections,212355,2427,209928,2326,201916,101,8012,0.923960387591471,0.757655733647817,1.12676874195611,"0.92 (0.76, 1.13)",0.4347309145436,1.0,Male,0.801,Herpes,
AD,Other Potentially Persistent Viral Infections,229099,2456,226643,2449,225731,7,912,1.0954576638319,0.508598268116406,2.35948010144108,"1.10 (0.51, 2.36)",0.815841761322077,1.0,Male,0.894,Other Viral,
AD,Parasitic Infections,228657,2449,226208,2427,224354,22,1854,1.23539171366991,0.806421603150139,1.89254935661754,"1.24 (0.81, 1.89)",0.331377935410234,1.0,Male,0.854,Parasitic,
AD,Fungal Infections,237893,2450,235443,2188,213264,262,22179,1.06586159107676,0.937097557852067,1.2123187407901,"1.07 (0.94, 1.21)",0.331564731698645,1.0,Male,0.727,Fungal,
AD,Acute Infections,237887,2294,235593,1103,155680,1191,79913,1.59185342673046,1.46484144509473,1.72987823404303,"1.59 (1.46, 1.73)",6.07832521312552e-28,3.74424833128532e-25,Male,0.433,Acute,**
AD,Chronic Infections,215244,2391,212853,2197,197869,194,14984,1.09519419916251,0.945162097679643,1.26904193135108,"1.10 (0.95, 1.27)",0.226401563469759,1.0,Male,0.411,Chronic,
