Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Sex group,P interaction,Abbreviations,p_star
Anxiety,All Infectious Diseases,224400,7509,216891,3881,137877,3628,79014,1.70653035788928,1.62780891819571,1.78905879544247,"1.71 (1.63, 1.79)",5.29945482809628e-109,3.26446417410731e-106,Male,0.344,Any,**
Anxiety,Bacterial Infections,245315,8217,237098,4761,162407,3456,74691,1.76173631165258,1.68287687643617,1.84429109179274,"1.76 (1.68, 1.84)",9.10862905178976e-130,5.61091549590249e-127,Male,0.046,Bacterial,**
Anxiety,Invasive Bacterial Infections,241027,8763,232264,7263,195633,1500,36631,1.76674746636234,1.66827944659306,1.87102743264759,"1.77 (1.67, 1.87)",2.82967455119832e-84,1.74307952353817e-81,Male,0.146,Invasive,**
Anxiety,Localised Bacterial Infections,245540,8507,237033,5494,173702,3013,63331,1.69128414034444,1.61461663986401,1.77159207502131,"1.69 (1.61, 1.77)",3.32448946189857e-109,2.04788550852952e-106,Male,0.163,Localised,**
Anxiety,Bacterial Infections with Sepsis,230810,9116,221694,8829,212100,287,9594,2.24032476323169,1.9859128771145,2.52732891890089,"2.24 (1.99, 2.53)",2.69073144395634e-39,1.65749056947711e-36,Male,0.334,Sepsis,**
Anxiety,Bacterial Infections without Sepsis,244614,8220,236394,4792,162650,3428,73744,1.75197209755293,1.6734951833304,1.8341291096492,"1.75 (1.67, 1.83)",4.29870952223101e-127,2.6480050656943e-124,Male,0.059,No-Sepsis,**
Anxiety,Extracellular Bacterial Infections,229878,8976,220902,8401,207234,575,13668,1.89985993283235,1.74234413213393,2.07161587530991,"1.90 (1.74, 2.07)",7.42025520142707e-48,4.57087720407907e-45,Male,0.681,Extracellular,**
Anxiety,Intracellular Bacterial Infections,221069,9058,212011,8991,210672,67,1339,1.607789744351,1.26095832582001,2.05001847333789,"1.61 (1.26, 2.05)",0.000128006750906524,0.078852158558419,Male,0.314,Intracellular,*
Anxiety,Gram Positive Bacterial Infections,226296,9054,217242,8719,209269,335,7973,1.77276634193117,1.58738096753147,1.97980230793068,"1.77 (1.59, 1.98)",3.01036931641331e-24,1.8543874989106e-21,Male,0.172,Gram Positive,**
Anxiety,Gram Negative Bacterial Infections,227984,9020,218964,8627,209681,393,9283,2.10140339731278,1.89420552767484,2.33126562757857,"2.10 (1.89, 2.33)",1.15696940720661e-44,7.12693154839274e-42,Male,0.558,Gram Negative,**
Anxiety,Mycobacterial Infections,220773,9074,211699,9056,211312,18,387,1.39855232915089,0.874840416455436,2.23577761221669,"1.40 (0.87, 2.24)",0.16110921798942,1.0,Male,0.96,Mycobacterial,
Anxiety,Mycoplasma Infections,221845,9124,212721,9123,212629,1,92,0.338637881291357,0.0473027947949304,2.42428835637825,"0.34 (0.05, 2.42)",0.2809426854153,1.0,Male,0.166,Mycoplasma,
Anxiety,Acute Bacterial Infections,245374,8271,237103,4917,164147,3354,72956,1.73598378513932,1.65816377644979,1.81745599865833,"1.74 (1.66, 1.82)",7.57488588520949e-123,4.66612970528905e-120,Male,0.045,Acute Bacterial,**
Anxiety,Chronic Bacterial Infections,224583,9052,215531,8758,210164,294,5367,1.77569106516502,1.57913463623159,1.99671306458789,"1.78 (1.58, 2.00)",8.54858112648241e-22,5.26592597391316e-19,Male,0.674,Chronic Bacterial,**
Anxiety,Viral Infections,207370,8111,199259,7171,178206,940,21053,1.35613471922398,1.26582106369105,1.45289206305511,"1.36 (1.27, 1.45)",4.56724367575072e-18,2.81342210426244e-15,Male,0.631,Viral,**
Anxiety,Acute Viral Infections,210852,8364,202488,7635,186802,729,15686,1.45178166489491,1.34435038124739,1.56779812162464,"1.45 (1.34, 1.57)",2.02370926062384e-21,1.24660490454429e-18,Male,0.824,Acute Viral,**
Anxiety,Herpes Viral Infections,205852,8388,197464,8085,190140,303,7324,1.15887626696938,1.03228088487547,1.30099687189974,"1.16 (1.03, 1.30)",0.0124805977814389,1.0,Male,0.722,Herpes,*
Anxiety,Other Potentially Persistent Viral Infections,221998,9109,212889,9050,212107,59,782,1.98354679872783,1.53326291152391,2.56606865865746,"1.98 (1.53, 2.57)",1.85555793856825e-07,0.000114302369015804,Male,0.141,Other Viral,**
Anxiety,Parasitic Infections,221582,9076,212506,8999,210827,77,1679,1.2306814622652,0.982371293680448,1.5417560257577,"1.23 (0.98, 1.54)",0.0710316781970353,1.0,Male,0.972,Parasitic,
Anxiety,Fungal Infections,230143,9052,221091,8107,201122,945,19969,1.38134510714218,1.29034200825706,1.47876632149878,"1.38 (1.29, 1.48)",1.52932853388019e-20,9.42066376870199e-18,Male,0.815,Fungal,**
Anxiety,Acute Infections,230219,7748,222471,4355,148776,3393,73695,1.73179473614954,1.65259431806577,1.81479082638109,"1.73 (1.65, 1.81)",5.52057644910822e-117,3.40067509265066e-114,Male,0.085,Acute,**
Anxiety,Chronic Infections,208429,8297,200132,7641,186607,656,13525,1.42808844225445,1.31735840035941,1.54812585424311,"1.43 (1.32, 1.55)",4.9953328535043e-18,3.07712503775865e-15,Male,0.362,Chronic,**
