Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Movement,Usual walking pace,All Infectious Diseases,91510,72108,19402,0.0494170116065587,0.0352075984755986,0.0636264247375188,"0.05 (0.04, 0.06)",9.39350546778834e-12,1.15727987363152e-08,40-50,<0.001,Any,**
Movement,Usual walking pace,Bacterial Infections,97846,88076,9770,0.0241610850746945,0.00556564957362311,0.0427565205757659,"0.02 (0.01, 0.04)",0.010878808671233,1,40-50,<0.001,Bacterial,*
Movement,Usual walking pace,Invasive Bacterial Infections,110783,108071,2712,-0.00239666256459806,-0.0363223962617356,0.0315290711325395,"-0.00 (-0.04, 0.03)",0.889875581860131,1,40-50,<0.001,Invasive,
Movement,Usual walking pace,Localised Bacterial Infections,101049,92870,8179,0.0293401587233502,0.00920146951740731,0.0494788479292932,"0.03 (0.01, 0.05)",0.00429757500998613,1,40-50,<0.001,Localised,*
Movement,Usual walking pace,Bacterial Infections with Sepsis,115848,115732,116,-0.106318376220997,-0.268799921312126,0.056163168870133,"-0.11 (-0.27, 0.06)",0.199670337062468,1,40-50,0.002,Sepsis,
Movement,Usual walking pace,Bacterial Infections without Sepsis,97910,88186,9724,0.0249188167461448,0.006283955577451,0.0435536779148387,"0.02 (0.01, 0.04)",0.00877049106279761,1,40-50,<0.001,No-Sepsis,*
Movement,Usual walking pace,Extracellular Bacterial Infections,114814,113270,1544,0.0307894622313911,-0.0140364245837429,0.0756153490465251,"0.03 (-0.01, 0.08)",0.178224396126007,1,40-50,<0.001,Extracellular,
Movement,Usual walking pace,Intracellular Bacterial Infections,115528,115341,187,0.0290504618384134,-0.0989073106947165,0.157008234371543,"0.03 (-0.10, 0.16)",0.656336137343617,1,40-50,0.174,Intracellular,
Movement,Usual walking pace,Gram Positive Bacterial Infections,115129,114283,846,-0.0121889075926739,-0.0725515193879047,0.048173704202557,"-0.01 (-0.07, 0.05)",0.692271040806255,1,40-50,<0.001,Gram Positive,
Movement,Usual walking pace,Gram Negative Bacterial Infections,115385,114514,871,0.0718662252457144,0.0123782358827801,0.131354214608649,"0.07 (0.01, 0.13)",0.0178950083452466,1,40-50,0.051,Gram Negative,*
Movement,Usual walking pace,Mycobacterial Infections,115785,115702,83,0.067489533614392,-0.124543458130358,0.259522525359142,"0.07 (-0.12, 0.26)",0.490930479423285,1,40-50,0.584,Mycobacterial,
Movement,Usual walking pace,Mycoplasma Infections,115993,115986,7,0.144537689380185,-0.516686266926449,0.805761645686819,"0.14 (-0.52, 0.81)",0.668335092890799,1,40-50,0.103,Mycoplasma,
Movement,Usual walking pace,Acute Bacterial Infections,98521,88966,9555,0.0230034810912334,0.00421022940697293,0.0417967327754939,"0.02 (0.00, 0.04)",0.0164380880376505,1,40-50,<0.001,Acute Bacterial,*
Movement,Usual walking pace,Chronic Bacterial Infections,115069,114719,350,-0.0437714958265499,-0.137327418643534,0.0497844269904341,"-0.04 (-0.14, 0.05)",0.359140772065644,1,40-50,0.351,Chronic Bacterial,
Movement,Usual walking pace,Viral Infections,107382,91902,15480,0.0757710342046953,0.0604074293705699,0.0911346390388206,"0.08 (0.06, 0.09)",4.2779270032182e-22,5.27040606796482e-19,40-50,0.058,Viral,**
Movement,Usual walking pace,Acute Viral Infections,109983,99005,10978,0.0817166516275921,0.0639921231705621,0.0994411800846221,"0.08 (0.06, 0.10)",1.64658704891934e-19,2.02859524426863e-16,40-50,0.245,Acute Viral,**
Movement,Usual walking pace,Herpes Viral Infections,112522,99078,13444,0.0851212273799231,0.0688563286180064,0.10138612614184,"0.09 (0.07, 0.10)",1.12344541514277e-24,1.38408475145589e-21,40-50,0.15,Herpes,**
Movement,Usual walking pace,Other Potentially Persistent Viral Infections,115643,115482,161,-0.228784319009535,-0.366774345421118,-0.0907942925979514,"-0.23 (-0.37, -0.09)",0.00115596528115216,1,40-50,0.624,Other Viral,*
Movement,Usual walking pace,Parasitic Infections,115107,114701,406,0.131127404752818,0.0441258432686728,0.218128966236962,"0.13 (0.04, 0.22)",0.003136880823437,1,40-50,0.331,Parasitic,*
Movement,Usual walking pace,Fungal Infections,111865,110331,1534,-0.0242973662743474,-0.0692753304193775,0.0206805978706827,"-0.02 (-0.07, 0.02)",0.289695087176777,1,40-50,<0.001,Fungal,
Movement,Usual walking pace,Acute Infections,95046,78982,16064,0.0482345220384387,0.0330565499753584,0.063412494101519,"0.05 (0.03, 0.06)",4.72263393508324e-10,5.81828500802255e-07,40-50,<0.001,Acute,**
Movement,Usual walking pace,Chronic Infections,110764,96903,13861,0.076443972457087,0.0604149772698158,0.0924729676443582,"0.08 (0.06, 0.09)",9.14445673765104e-21,1.12659707007861e-17,40-50,0.067,Chronic,**
