Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Cognition,Trail making 1,All Infectious Diseases,16151,6267,9884,-0.0274601437337438,-0.0492149426713964,-0.00570534479609129,"-0.03 (-0.05, -0.01)",0.013365062568766,1,51-60,0.009,Any,*
Cognition,Trail making 1,Bacterial Infections,16151,11228,4923,-0.0176720060857724,-0.0407117085799128,0.00536769640836801,"-0.02 (-0.04, 0.01)",0.132742016317333,1,51-60,0.421,Bacterial,
Cognition,Trail making 1,Invasive Bacterial Infections,16151,14893,1258,0.0188151454636197,-0.0206463296179797,0.0582766205452192,"0.02 (-0.02, 0.06)",0.35002048841576,1,51-60,0.894,Invasive,
Cognition,Trail making 1,Localised Bacterial Infections,16151,11972,4179,-0.0263372673984218,-0.0505586195606318,-0.00211591523621181,"-0.03 (-0.05, -0.00)",0.0330761046536459,1,51-60,0.428,Localised,*
Cognition,Trail making 1,Bacterial Infections with Sepsis,16151,16109,42,-0.0178598727066825,-0.225504705584835,0.18978496017147,"-0.02 (-0.23, 0.19)",0.866119398644504,1,51-60,0.943,Sepsis,
Cognition,Trail making 1,Bacterial Infections without Sepsis,16151,11248,4903,-0.0175488213792064,-0.0406156280790327,0.00551798532061986,"-0.02 (-0.04, 0.01)",0.135923807008675,1,51-60,0.433,No-Sepsis,
Cognition,Trail making 1,Extracellular Bacterial Infections,16151,15417,734,-0.0506889911665552,-0.101514408315314,0.000136425982203273,"-0.05 (-0.10, 0.00)",0.0506180581242304,1,51-60,0.199,Extracellular,
Cognition,Trail making 1,Intracellular Bacterial Infections,16151,16064,87,-0.0361033968794944,-0.180503474366187,0.108296680607198,"-0.04 (-0.18, 0.11)",0.624088476784497,1,51-60,0.914,Intracellular,
Cognition,Trail making 1,Gram Positive Bacterial Infections,16151,15748,403,-0.0312056324458656,-0.0990305020258236,0.0366192371340925,"-0.03 (-0.10, 0.04)",0.367160622679041,1,51-60,0.629,Gram Positive,
Cognition,Trail making 1,Gram Negative Bacterial Infections,16151,15735,416,-0.0548968040032652,-0.121655841455352,0.0118622334488218,"-0.05 (-0.12, 0.01)",0.10701976300023,1,51-60,0.677,Gram Negative,
Cognition,Trail making 1,Mycobacterial Infections,16151,16118,33,-0.181471815794891,-0.415683699627818,0.0527400680380369,"-0.18 (-0.42, 0.05)",0.128849749449619,1,51-60,0.372,Mycobacterial,
Cognition,Trail making 1,Mycoplasma Infections,16151,16147,4,0.299347421248939,-0.372396071825915,0.971090914323793,"0.30 (-0.37, 0.97)",0.382414762954226,1,51-60,0.945,Mycoplasma,
Cognition,Trail making 1,Acute Bacterial Infections,16151,11329,4822,-0.016366971197069,-0.0395427905274358,0.00680884813329772,"-0.02 (-0.04, 0.01)",0.166301684572788,1,51-60,0.453,Acute Bacterial,
Cognition,Trail making 1,Chronic Bacterial Infections,16151,16003,148,-0.042520261128199,-0.153551690576113,0.0685111683197149,"-0.04 (-0.15, 0.07)",0.452881366240686,1,51-60,0.922,Chronic Bacterial,
Cognition,Trail making 1,Viral Infections,16151,8073,8078,-0.0254780321201475,-0.0467085736148144,-0.00424749062548065,"-0.03 (-0.05, -0.00)",0.018671631925501,1,51-60,0.157,Viral,*
Cognition,Trail making 1,Acute Viral Infections,16151,10616,5535,-0.0302921400598652,-0.0526082604853227,-0.00797601963440765,"-0.03 (-0.05, -0.01)",0.00780612019969521,1,51-60,0.674,Acute Viral,*
Cognition,Trail making 1,Herpes Viral Infections,16151,9066,7085,-0.0290707282486844,-0.0504830754331293,-0.00765838106423954,"-0.03 (-0.05, -0.01)",0.00779471685573293,1,51-60,0.257,Herpes,*
Cognition,Trail making 1,Other Potentially Persistent Viral Infections,16151,16089,62,-0.0753995010795472,-0.246633881672869,0.0958348795137749,"-0.08 (-0.25, 0.10)",0.388098525533785,1,51-60,0.565,Other Viral,
Cognition,Trail making 1,Parasitic Infections,16151,15946,205,0.0314251803782479,-0.0631389965268674,0.125989357283363,"0.03 (-0.06, 0.13)",0.514813023456288,1,51-60,0.565,Parasitic,
Cognition,Trail making 1,Fungal Infections,16151,15384,767,0.0180306158932727,-0.0316880205855464,0.0677492523720918,"0.02 (-0.03, 0.07)",0.477193494014696,1,51-60,0.931,Fungal,
Cognition,Trail making 1,Acute Infections,16151,8098,8053,-0.0315860597533409,-0.0527799028133065,-0.0103922166933753,"-0.03 (-0.05, -0.01)",0.00349130530677584,1,51-60,0.333,Acute,*
Cognition,Trail making 1,Chronic Infections,16151,8898,7253,-0.0334057789357006,-0.0547483454883017,-0.0120632123830995,"-0.03 (-0.05, -0.01)",0.00215852363752827,1,51-60,0.276,Chronic,*
