Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Cognition,Tower rearranging,All Infectious Diseases,17318,7644,9674,-0.00737717804145593,-0.0367631328101828,0.0220087767272709,"-0.01 (-0.04, 0.02)",0.62267446203245,1,61-70,0.387,Any,
Cognition,Tower rearranging,Bacterial Infections,17318,11768,5550,-0.0358350719339794,-0.0670989839141314,-0.00457115995382743,"-0.04 (-0.07, -0.00)",0.0246723092727975,1,61-70,0.296,Bacterial,*
Cognition,Tower rearranging,Invasive Bacterial Infections,17318,15792,1526,0.0183697960632393,-0.0330521114884924,0.0697917036149709,"0.02 (-0.03, 0.07)",0.483799220110701,1,61-70,0.229,Invasive,
Cognition,Tower rearranging,Localised Bacterial Infections,17318,12612,4706,-0.0269560871803066,-0.059762224585357,0.00585005022474382,"-0.03 (-0.06, 0.01)",0.107291215487982,1,61-70,0.513,Localised,
Cognition,Tower rearranging,Bacterial Infections with Sepsis,17318,17282,36,-0.118743931571452,-0.438602011162456,0.201114148019551,"-0.12 (-0.44, 0.20)",0.46682740943236,1,61-70,0.891,Sepsis,
Cognition,Tower rearranging,Bacterial Infections without Sepsis,17318,11783,5535,-0.0343504571448982,-0.0656365066862803,-0.00306440760351606,"-0.03 (-0.07, -0.00)",0.0314041212036718,1,61-70,0.335,No-Sepsis,*
Cognition,Tower rearranging,Extracellular Bacterial Infections,17318,16310,1008,0.0115910927371289,-0.0506803930798214,0.0738625785540791,"0.01 (-0.05, 0.07)",0.715228290839118,1,61-70,0.037,Extracellular,
Cognition,Tower rearranging,Intracellular Bacterial Infections,17318,17170,148,-0.0189291450460029,-0.17716481494126,0.139306524849254,"-0.02 (-0.18, 0.14)",0.814615434027939,1,61-70,0.598,Intracellular,
Cognition,Tower rearranging,Gram Positive Bacterial Infections,17318,16857,461,0.0289847306670759,-0.0615484928914094,0.119517954225561,"0.03 (-0.06, 0.12)",0.530315169948452,1,61-70,0.57,Gram Positive,
Cognition,Tower rearranging,Gram Negative Bacterial Infections,17318,16659,659,0.00184875761720739,-0.0743333087696713,0.0780308240040861,"0.00 (-0.07, 0.08)",0.962061886364421,1,61-70,0.039,Gram Negative,
Cognition,Tower rearranging,Mycobacterial Infections,17318,17236,82,-0.0244664309405903,-0.236735102583743,0.187802240702562,"-0.02 (-0.24, 0.19)",0.821262864846629,1,61-70,0.591,Mycobacterial,
Cognition,Tower rearranging,Mycoplasma Infections,17318,17314,4,-0.888898827770968,-1.84730047398512,0.0695028184431861,"-0.89 (-1.85, 0.07)",0.0690882147048224,1,61-70,0.14,Mycoplasma,
Cognition,Tower rearranging,Acute Bacterial Infections,17318,11858,5460,-0.0346239383673635,-0.0660254484003965,-0.00322242833433042,"-0.03 (-0.07, -0.00)",0.0306899372700591,1,61-70,0.434,Acute Bacterial,*
Cognition,Tower rearranging,Chronic Bacterial Infections,17318,17150,168,-0.066822214779192,-0.215543428713224,0.0818989991548403,"-0.07 (-0.22, 0.08)",0.378494179517702,1,61-70,0.307,Chronic Bacterial,
Cognition,Tower rearranging,Viral Infections,17318,9909,7409,0.0144143128654392,-0.0150968873104997,0.043925513041378,"0.01 (-0.02, 0.04)",0.338387533900047,1,61-70,0.543,Viral,
Cognition,Tower rearranging,Acute Viral Infections,17318,11160,6158,0.0204602994493975,-0.010033472394782,0.0509540712935769,"0.02 (-0.01, 0.05)",0.18847282862422,1,61-70,0.346,Acute Viral,
Cognition,Tower rearranging,Herpes Viral Infections,17318,11255,6063,0.0251398242346285,-0.00549904316222078,0.0557786916314777,"0.03 (-0.01, 0.06)",0.107786972008589,1,61-70,0.959,Herpes,
Cognition,Tower rearranging,Other Potentially Persistent Viral Infections,17318,17276,42,-0.0698554717862749,-0.366452919643421,0.226741976070872,"-0.07 (-0.37, 0.23)",0.644339159703113,1,61-70,0.115,Other Viral,
Cognition,Tower rearranging,Parasitic Infections,17318,17144,174,-0.126492330679919,-0.272643747396929,0.0196590860370912,"-0.13 (-0.27, 0.02)",0.089819732869001,1,61-70,0.568,Parasitic,
Cognition,Tower rearranging,Fungal Infections,17318,16335,983,-0.0121368899333046,-0.0751288644205072,0.050855084553898,"-0.01 (-0.08, 0.05)",0.705688025249616,1,61-70,0.391,Fungal,
Cognition,Tower rearranging,Acute Infections,17318,8678,8640,-0.00376823928149313,-0.0329666097442128,0.0254301311812265,"-0.00 (-0.03, 0.03)",0.800299210810064,1,61-70,0.699,Acute,
Cognition,Tower rearranging,Chronic Infections,17318,11082,6236,0.0181196507768894,-0.0123126414778073,0.0485519430315861,"0.02 (-0.01, 0.05)",0.243201736935922,1,61-70,0.785,Chronic,
