Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Cognition,Reaction time,All Infectious Diseases,2371,1950,421,0.0897648799366474,-0.0290447163411089,0.208574476214404,"0.09 (-0.03, 0.21)",0.138584705811637,1,71-80,<0.001,Any,
Cognition,Reaction time,Bacterial Infections,2491,2155,336,0.136111853943963,0.00513019205644666,0.267093515831478,"0.14 (0.01, 0.27)",0.0416834014252039,1,71-80,<0.001,Bacterial,*
Cognition,Reaction time,Invasive Bacterial Infections,2757,2624,133,0.201393828956021,0.00401454786433206,0.398773110047711,"0.20 (0.00, 0.40)",0.0455219314605865,1,71-80,0.117,Invasive,*
Cognition,Reaction time,Localised Bacterial Infections,2595,2342,253,0.108293958551295,-0.0402050748834608,0.256792991986051,"0.11 (-0.04, 0.26)",0.15284135202238,1,71-80,<0.001,Localised,
Cognition,Reaction time,Bacterial Infections with Sepsis,2906,2899,7,1.77909533546937,0.940369215131479,2.61782145580725,"1.78 (0.94, 2.62)",3.28683122397264e-05,0.0404937606793429,71-80,<0.001,Sepsis,**
Cognition,Reaction time,Bacterial Infections without Sepsis,2494,2159,335,0.138204418804632,0.00712930422372093,0.269279533385544,"0.14 (0.01, 0.27)",0.0387832933060196,1,71-80,<0.001,No-Sepsis,*
Cognition,Reaction time,Extracellular Bacterial Infections,2876,2833,43,0.328803778759141,-0.0135340605769,0.671141618095182,"0.33 (-0.01, 0.67)",0.0597644482506714,1,71-80,0.117,Extracellular,
Cognition,Reaction time,Intracellular Bacterial Infections,2879,2860,19,0.431970245714806,-0.0803926363642733,0.944333127793884,"0.43 (-0.08, 0.94)",0.0984133180697275,1,71-80,0.038,Intracellular,
Cognition,Reaction time,Gram Positive Bacterial Infections,2885,2852,33,0.28313195689505,-0.107569166822348,0.673833080612447,"0.28 (-0.11, 0.67)",0.15544296340559,1,71-80,0.387,Gram Positive,
Cognition,Reaction time,Gram Negative Bacterial Infections,2890,2872,18,0.771844543397126,0.246795812814331,1.29689327397992,"0.77 (0.25, 1.30)",0.00397530306306147,1,71-80,0.004,Gram Negative,*
Cognition,Reaction time,Mycobacterial Infections,2888,2871,17,0.473051159866185,-0.0680049426163744,1.01410726234874,"0.47 (-0.07, 1.01)",0.0865741590032167,1,71-80,0.075,Mycobacterial,
Cognition,Reaction time,Mycoplasma Infections,2909,2909,0,0.0,0.0,0.0,/,/,/,71-80,0.553,Mycoplasma,
Cognition,Reaction time,Acute Bacterial Infections,2515,2189,326,0.135382199644985,0.00257131220729545,0.268193087082674,"0.14 (0.00, 0.27)",0.045729647199136,1,71-80,<0.001,Acute Bacterial,*
Cognition,Reaction time,Chronic Bacterial Infections,2875,2855,20,0.474808310968111,-0.0229063424088524,0.972522964345075,"0.47 (-0.02, 0.97)",0.0615092338697954,1,71-80,0.106,Chronic Bacterial,
Cognition,Reaction time,Viral Infections,2764,2636,128,-0.00361731700267636,-0.205054949645477,0.197820315640124,"-0.00 (-0.21, 0.20)",0.971913583793387,1,71-80,0.005,Viral,
Cognition,Reaction time,Acute Viral Infections,2814,2719,95,0.0179342302028956,-0.213547275937263,0.249415736343054,"0.02 (-0.21, 0.25)",0.87926439455849,1,71-80,0.042,Acute Viral,
Cognition,Reaction time,Herpes Viral Infections,2843,2769,74,-0.141734561892437,-0.404770505864118,0.121301382079244,"-0.14 (-0.40, 0.12)",0.290801963668176,1,71-80,0.085,Herpes,
Cognition,Reaction time,Other Potentially Persistent Viral Infections,2908,2908,0,0.0,0.0,0.0,/,/,/,71-80,0.135,Other Viral,
Cognition,Reaction time,Parasitic Infections,2894,2890,4,1.72221089516734,0.609756053882813,2.83466573645186,"1.72 (0.61, 2.83)",0.0024226325721311,1,71-80,0.004,Parasitic,*
Cognition,Reaction time,Fungal Infections,2815,2744,71,-0.0485688994883828,-0.314559101146807,0.217421302170042,"-0.05 (-0.31, 0.22)",0.720342128519109,1,71-80,0.007,Fungal,
Cognition,Reaction time,Acute Infections,2452,2073,379,0.102094406961744,-0.0227080943488623,0.22689690827235,"0.10 (-0.02, 0.23)",0.108812509167097,1,71-80,<0.001,Acute,
Cognition,Reaction time,Chronic Infections,2799,2704,95,0.053500988398633,-0.179163924861925,0.286165901659191,"0.05 (-0.18, 0.29)",0.65210585012079,1,71-80,0.027,Chronic,
