Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Abbreviations,p_star
Cognition,Prospective memory,All Infectious Diseases,171365,103348,68017,-0.00951463306157121,-0.0191775926146774,0.000148326491534937,"-0.01 (-0.02, 0.00)",0.0536218500558697,1.0,Any,
Cognition,Prospective memory,Bacterial Infections,171365,123384,47981,-0.000415825042501189,-0.0109620024259028,0.0101303523409004,"-0.00 (-0.01, 0.01)",0.938400945845061,1.0,Bacterial,
Cognition,Prospective memory,Invasive Bacterial Infections,171365,157460,13905,0.000746270904132096,-0.0165690078125836,0.0180615496208477,"0.00 (-0.02, 0.02)",0.932680426895537,1.0,Invasive,
Cognition,Prospective memory,Localised Bacterial Infections,171365,131306,40059,4.84399600260348e-05,-0.0111395435231408,0.0112364234431928,"0.00 (-0.01, 0.01)",0.99322924134183,1.0,Localised,
Cognition,Prospective memory,Bacterial Infections with Sepsis,171365,170553,812,0.0451459953149503,-0.0236157721420949,0.113907762771995,"0.05 (-0.02, 0.11)",0.19815303183463,1.0,Sepsis,
Cognition,Prospective memory,Bacterial Infections without Sepsis,171365,123647,47718,-0.0002106938657006,-0.0107745250891828,0.0103531373577816,"-0.00 (-0.01, 0.01)",0.968817536383466,1.0,No-Sepsis,
Cognition,Prospective memory,Extracellular Bacterial Infections,171365,165928,5437,-0.023188323113538,-0.0501285623619589,0.00375191613488295,"-0.02 (-0.05, 0.00)",0.0916022059497387,1.0,Extracellular,
Cognition,Prospective memory,Intracellular Bacterial Infections,171365,169865,1500,0.0822371769518287,0.0315672385992239,0.132907115304433,"0.08 (0.03, 0.13)",0.00146774079751589,0.452064165634894,Intracellular,*
Cognition,Prospective memory,Gram Positive Bacterial Infections,171365,168282,3083,-0.0115673045212396,-0.047089300097731,0.0239546910552517,"-0.01 (-0.05, 0.02)",0.523316447573611,1.0,Gram Positive,
Cognition,Prospective memory,Gram Negative Bacterial Infections,171365,168089,3276,-0.0228039007531467,-0.0572825282281197,0.0116747267218263,"-0.02 (-0.06, 0.01)",0.194868949188746,1.0,Gram Negative,
Cognition,Prospective memory,Mycobacterial Infections,171365,170428,937,0.0609496234177507,-0.0030606481375639,0.124959894973065,"0.06 (-0.00, 0.12)",0.0620064840596782,1.0,Mycobacterial,
Cognition,Prospective memory,Mycoplasma Infections,171365,171314,51,0.397934684745295,0.124329727631754,0.671539641858837,"0.40 (0.12, 0.67)",0.00436395928212501,1.0,Mycoplasma,*
Cognition,Prospective memory,Acute Bacterial Infections,171365,124796,46569,-0.00131454152060171,-0.0119591105541969,0.00933002751299343,"-0.00 (-0.01, 0.01)",0.808745036663465,1.0,Acute Bacterial,
Cognition,Prospective memory,Chronic Bacterial Infections,171365,169080,2285,0.00237839684736378,-0.0387973885128187,0.0435541822075462,"0.00 (-0.04, 0.04)",0.909862382284891,1.0,Chronic Bacterial,
Cognition,Prospective memory,Viral Infections,171365,139462,31903,-0.0231004438218358,-0.0353022976614158,-0.0108985899822559,"-0.02 (-0.04, -0.01)",0.000206823276493736,0.0637015691600707,Viral,*
Cognition,Prospective memory,Acute Viral Infections,171365,147704,23661,-0.0268201438730844,-0.0405694095811168,-0.013070878165052,"-0.03 (-0.04, -0.01)",0.000131750398500374,0.0405791227381152,Acute Viral,**
Cognition,Prospective memory,Herpes Viral Infections,171365,151201,20164,-0.0352488932031385,-0.050025561711659,-0.0204722246946179,"-0.04 (-0.05, -0.02)",2.93583573373915e-06,0.000904237405991658,Herpes,**
Cognition,Prospective memory,Other Potentially Persistent Viral Infections,171365,170904,461,0.00838869454283421,-0.0828929432418725,0.0996703323275409,"0.01 (-0.08, 0.10)",0.857058516827199,1.0,Other Viral,
Cognition,Prospective memory,Parasitic Infections,171365,169475,1890,-0.015566226354905,-0.0607791062923287,0.0296466535825187,"-0.02 (-0.06, 0.03)",0.499806460986321,1.0,Parasitic,
Cognition,Prospective memory,Fungal Infections,171365,160659,10706,0.0042248240810469,-0.0152859862156064,0.0237356343777002,"0.00 (-0.02, 0.02)",0.671268164112947,1.0,Fungal,
Cognition,Prospective memory,Acute Infections,171365,112437,58928,-0.0118981930870332,-0.0218527076924167,-0.00194367848164963,"-0.01 (-0.02, -0.00)",0.0191471795383042,1.0,Acute,*
Cognition,Prospective memory,Chronic Infections,171365,147918,23447,-0.0336292293200885,-0.0474472443785042,-0.0198112142616728,"-0.03 (-0.05, -0.02)",1.84336620662243e-06,0.000567756791639708,Chronic,**
