Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Sex group,P interaction,Abbreviations,p_star
Cognition,Trail making 1,All Infectious Diseases,42933,15304,27629,-0.0245318877756377,-0.0442513604996334,-0.00481241505164211,"-0.02 (-0.04, -0.00)",0.014758515795223,1.0,Female,0.466,Any,*
Cognition,Trail making 1,Bacterial Infections,42933,27644,15289,-0.0172138435757842,-0.0369447544098928,0.00251706725832446,"-0.02 (-0.04, 0.00)",0.0872767801596418,1.0,Female,0.571,Bacterial,
Cognition,Trail making 1,Invasive Bacterial Infections,42933,38610,4323,0.00279598908987367,-0.028574568503863,0.0341665466836104,"0.00 (-0.03, 0.03)",0.861322302124836,1.0,Female,0.858,Invasive,
Cognition,Trail making 1,Localised Bacterial Infections,42933,29962,12971,-0.0246312048517673,-0.045207794824808,-0.00405461487872655,"-0.02 (-0.05, -0.00)",0.018968372653501,1.0,Female,0.921,Localised,*
Cognition,Trail making 1,Bacterial Infections with Sepsis,42933,42803,130,0.00450106167459447,-0.167234157018564,0.176236280367753,"0.00 (-0.17, 0.18)",0.959030328378287,1.0,Female,0.839,Sepsis,
Cognition,Trail making 1,Bacterial Infections without Sepsis,42933,27698,15235,-0.0170068340533034,-0.036753649541473,0.00273998143486613,"-0.02 (-0.04, 0.00)",0.0914078233693864,1.0,Female,0.534,No-Sepsis,
Cognition,Trail making 1,Extracellular Bacterial Infections,42933,39022,3911,-0.0198806067167936,-0.0527091307570146,0.0129479173234273,"-0.02 (-0.05, 0.01)",0.235247238303091,1.0,Female,0.428,Extracellular,
Cognition,Trail making 1,Intracellular Bacterial Infections,42933,42568,365,-0.0137396582836412,-0.116545205954615,0.0890658893873321,"-0.01 (-0.12, 0.09)",0.793360635097789,1.0,Female,0.747,Intracellular,
Cognition,Trail making 1,Gram Positive Bacterial Infections,42933,41315,1618,-0.0281676432176938,-0.0777255456597463,0.0213902592243587,"-0.03 (-0.08, 0.02)",0.265271402179641,1.0,Female,0.729,Gram Positive,
Cognition,Trail making 1,Gram Negative Bacterial Infections,42933,40277,2656,-0.0144487778203375,-0.0536607036485113,0.0247631480078362,"-0.01 (-0.05, 0.02)",0.4701593108004,1.0,Female,0.811,Gram Negative,
Cognition,Trail making 1,Mycobacterial Infections,42933,42700,233,-0.00499417552166604,-0.133497269529704,0.123508918486372,"-0.00 (-0.13, 0.12)",0.939280493011708,1.0,Female,0.619,Mycobacterial,
Cognition,Trail making 1,Mycoplasma Infections,42933,42926,7,0.198200869885772,-0.54079305144936,0.937194791220903,"0.20 (-0.54, 0.94)",0.599110270401472,1.0,Female,0.952,Mycoplasma,
Cognition,Trail making 1,Acute Bacterial Infections,42933,27917,15016,-0.0142706866309538,-0.0340822060918679,0.00554083282996018,"-0.01 (-0.03, 0.01)",0.158002468799452,1.0,Female,0.354,Acute Bacterial,
Cognition,Trail making 1,Chronic Bacterial Infections,42933,42459,474,-0.0405950545142759,-0.130940311158325,0.0497502021297729,"-0.04 (-0.13, 0.05)",0.378485020784529,1.0,Female,0.201,Chronic Bacterial,
Cognition,Trail making 1,Viral Infections,42933,19946,22987,-0.0239040740305963,-0.042862035952644,-0.00494611210854867,"-0.02 (-0.04, -0.00)",0.0134628897990844,1.0,Female,0.461,Viral,*
Cognition,Trail making 1,Acute Viral Infections,42933,24727,18206,-0.0236717215573112,-0.0427977446457164,-0.00454569846890603,"-0.02 (-0.04, -0.00)",0.0152763077683474,1.0,Female,0.264,Acute Viral,*
Cognition,Trail making 1,Herpes Viral Infections,42933,22941,19992,-0.0247315859306055,-0.043700294064964,-0.00576287779624705,"-0.02 (-0.04, -0.01)",0.0106071910198226,1.0,Female,0.149,Herpes,*
Cognition,Trail making 1,Other Potentially Persistent Viral Infections,42933,42841,92,-0.115942419982148,-0.320078844423408,0.0881940044591124,"-0.12 (-0.32, 0.09)",0.265618872916227,1.0,Female,0.068,Other Viral,
Cognition,Trail making 1,Parasitic Infections,42933,42416,517,0.0421265210918863,-0.044468894609795,0.128721936793568,"0.04 (-0.04, 0.13)",0.340341792268836,1.0,Female,0.871,Parasitic,
Cognition,Trail making 1,Fungal Infections,42933,40985,1948,0.0244657627004048,-0.0208783881496938,0.0698099135505033,"0.02 (-0.02, 0.07)",0.290270026039641,1.0,Female,0.127,Fungal,
Cognition,Trail making 1,Acute Infections,42933,18649,24284,-0.0185318566617573,-0.0375886888631062,0.000524975539591528,"-0.02 (-0.04, 0.00)",0.0566536532978342,1.0,Female,0.251,Acute,
Cognition,Trail making 1,Chronic Infections,42933,22548,20385,-0.0264927418310245,-0.0454321802075961,-0.00755330345445295,"-0.03 (-0.05, -0.01)",0.00611471933358384,1.0,Female,0.272,Chronic,*
