Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Sex group,P interaction,Abbreviations,p_star
Cognition,Prospective memory,All Infectious Diseases,78123,47184,30939,-0.00261820379335156,-0.0169566004610177,0.0117201928743146,"-0.00 (-0.02, 0.01)",0.720421597341495,1.0,Male,0.126,Any,
Cognition,Prospective memory,Bacterial Infections,78123,56757,21366,0.000105812397674026,-0.0156538227066639,0.015865447502012,"0.00 (-0.02, 0.02)",0.989500433819146,1.0,Male,0.843,Bacterial,
Cognition,Prospective memory,Invasive Bacterial Infections,78123,71316,6807,-0.0107813752079028,-0.0356631948229114,0.0141004444071058,"-0.01 (-0.04, 0.01)",0.395732518662248,1.0,Male,0.224,Invasive,
Cognition,Prospective memory,Localised Bacterial Infections,78123,60789,17334,0.00800506989614732,-0.00889058373239346,0.0249007235246881,"0.01 (-0.01, 0.02)",0.353081253404237,1.0,Male,0.179,Localised,
Cognition,Prospective memory,Bacterial Infections with Sepsis,78123,77681,442,0.0490705009778647,-0.0442914866658126,0.142432488621542,"0.05 (-0.04, 0.14)",0.30293749077052,1.0,Male,0.843,Sepsis,
Cognition,Prospective memory,Bacterial Infections without Sepsis,78123,56895,21228,0.00119782001881309,-0.0145929935533133,0.0169886335909395,"0.00 (-0.01, 0.02)",0.881809409935988,1.0,Male,0.731,No-Sepsis,
Cognition,Prospective memory,Extracellular Bacterial Infections,78123,75714,2409,-0.0336671106600986,-0.0741759381666421,0.00684171684644496,"-0.03 (-0.07, 0.01)",0.103325063748053,1.0,Male,0.567,Extracellular,
Cognition,Prospective memory,Intracellular Bacterial Infections,78123,77398,725,0.112743286481364,0.0397478777880912,0.185738695174636,"0.11 (0.04, 0.19)",0.00246860621661679,1.0,Male,0.269,Intracellular,*
Cognition,Prospective memory,Gram Positive Bacterial Infections,78123,76639,1484,-0.0307941612519729,-0.0820963727893322,0.0205080502853864,"-0.03 (-0.08, 0.02)",0.23940393035423,1.0,Male,0.343,Gram Positive,
Cognition,Prospective memory,Gram Negative Bacterial Infections,78123,76742,1381,-0.0143586272009656,-0.0674860069546551,0.0387687525527239,"-0.01 (-0.07, 0.04)",0.596305069642543,1.0,Male,0.62,Gram Negative,
Cognition,Prospective memory,Mycobacterial Infections,78123,77685,438,0.0886013293795041,-0.00515220409806196,0.18235486285707,"0.09 (-0.01, 0.18)",0.0639889208802355,1.0,Male,0.45,Mycobacterial,
Cognition,Prospective memory,Mycoplasma Infections,78123,78092,31,0.442385600338642,0.0909472291676207,0.793823971509664,"0.44 (0.09, 0.79)",0.0136190656949174,1.0,Male,0.715,Mycoplasma,*
Cognition,Prospective memory,Acute Bacterial Infections,78123,57373,20750,-0.00113905207805789,-0.017047303932375,0.0147691997762592,"-0.00 (-0.02, 0.01)",0.888393134883309,1.0,Male,0.878,Acute Bacterial,
Cognition,Prospective memory,Chronic Bacterial Infections,78123,77093,1030,0.00768594260002373,-0.0537218075773467,0.0690936927773942,"0.01 (-0.05, 0.07)",0.806211141546841,1.0,Male,0.854,Chronic Bacterial,
Cognition,Prospective memory,Viral Infections,78123,64079,14044,-0.0111693578627688,-0.0295121307520473,0.00717341502650964,"-0.01 (-0.03, 0.01)",0.232681954147994,1.0,Male,0.038,Viral,
Cognition,Prospective memory,Acute Viral Infections,78123,67688,10435,-0.0155174484823481,-0.0361998042335589,0.00516490726886264,"-0.02 (-0.04, 0.01)",0.141421158410536,1.0,Male,0.076,Acute Viral,
Cognition,Prospective memory,Herpes Viral Infections,78123,69367,8756,-0.0279765620413087,-0.0503463711683798,-0.00560675291423764,"-0.03 (-0.05, -0.01)",0.0142384397341559,1.0,Male,0.203,Herpes,*
Cognition,Prospective memory,Other Potentially Persistent Viral Infections,78123,77856,267,0.0195219232619973,-0.100804142465843,0.139847988989838,"0.02 (-0.10, 0.14)",0.750491016003215,1.0,Male,0.861,Other Viral,
Cognition,Prospective memory,Parasitic Infections,78123,77288,835,0.0227723579953966,-0.0453305005014622,0.0908752164922555,"0.02 (-0.05, 0.09)",0.512220879744286,1.0,Male,0.135,Parasitic,
Cognition,Prospective memory,Fungal Infections,78123,72751,5372,0.0257994787665299,-0.00186947186973041,0.0534684294027903,"0.03 (-0.00, 0.05)",0.067618529034345,1.0,Male,0.025,Fungal,
Cognition,Prospective memory,Acute Infections,78123,51631,26492,-0.00747147550951467,-0.0222881354431191,0.0073451844240898,"-0.01 (-0.02, 0.01)",0.322984195475289,1.0,Male,0.307,Acute,
Cognition,Prospective memory,Chronic Infections,78123,67891,10232,-0.0228576510745378,-0.0437204498388952,-0.0019948523101803,"-0.02 (-0.04, -0.00)",0.0317641637357161,1.0,Male,0.087,Chronic,*
