Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Gram Negative Bacterial Infections,18908,18286,622,-0.0755458082445858,-0.154704333838443,0.00361271734927107,"-0.08 (-0.15, 0.00)",0.0614114153662509,0.257927944538254,51-60,0.107,Cortical,Volume of bankssts (left hemisphere),Gram Negative,
L_caudalanteriorcingulate,Gram Negative Bacterial Infections,18908,18286,622,-0.0663495454485078,-0.147334696069487,0.0146356051724716,"-0.07 (-0.15, 0.01)",0.108320741875484,0.336476980608323,51-60,0.271,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Gram Negative,
L_caudalmiddlefrontal,Gram Negative Bacterial Infections,18908,18286,622,-0.00518789005375525,-0.08423257532096,0.0738567952134495,"-0.01 (-0.08, 0.07)",0.897639669472918,0.938610774718569,51-60,0.965,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Gram Negative,
L_cuneus,Gram Negative Bacterial Infections,18908,18286,622,0.00813002779352948,-0.0695310020055989,0.0857910575926579,"0.01 (-0.07, 0.09)",0.837422713404018,0.898002228841756,51-60,0.211,Cortical,Volume of cuneus (left hemisphere),Gram Negative,
L_entorhinal,Gram Negative Bacterial Infections,18908,18286,622,0.0170683518171865,-0.0590605809413746,0.0931972845757475,"0.02 (-0.06, 0.09)",0.660334449614045,0.844691783262636,51-60,0.705,Cortical,Volume of entorhinal (left hemisphere),Gram Negative,
L_frontalpole,Gram Negative Bacterial Infections,18908,18286,622,0.00887318984774206,-0.0653574296155634,0.0831038093110475,"0.01 (-0.07, 0.08)",0.814754490994607,0.897140974124472,51-60,0.938,Cortical,Volume of frontalpole (left hemisphere),Gram Negative,
L_fusiform,Gram Negative Bacterial Infections,18908,18286,622,-0.0107505842357426,-0.0852149462279461,0.0637137777564609,"-0.01 (-0.09, 0.06)",0.777193385303578,0.882482386455794,51-60,0.283,Cortical,Volume of fusiform (left hemisphere),Gram Negative,
L_inferiorparietal,Gram Negative Bacterial Infections,18908,18286,622,-0.110291943448479,-0.188062857094432,-0.0325210298025263,"-0.11 (-0.19, -0.03)",0.00544580219546124,0.0686171076628116,51-60,0.175,Cortical,Volume of inferiorparietal (left hemisphere),Gram Negative,*
L_inferiortemporal,Gram Negative Bacterial Infections,18908,18286,622,-0.0478986727380084,-0.122205834135104,0.0264084886590868,"-0.05 (-0.12, 0.03)",0.206431950569688,0.473605903095459,51-60,0.916,Cortical,Volume of inferiortemporal (left hemisphere),Gram Negative,
L_insula,Gram Negative Bacterial Infections,18619,18003,616,0.0111907690192334,-0.0627778407530314,0.0851593787914982,"0.01 (-0.06, 0.09)",0.766818144132298,0.882482386455794,51-60,0.158,Cortical,Volume of grey matter in Insular Cortex (left),Gram Negative,
L_isthmuscingulate,Gram Negative Bacterial Infections,18908,18286,622,-0.0545382458918796,-0.129343797702513,0.0202673059187537,"-0.05 (-0.13, 0.02)",0.153010342053672,0.413152708438083,51-60,0.32,Cortical,Volume of isthmuscingulate (left hemisphere),Gram Negative,
L_lateraloccipital,Gram Negative Bacterial Infections,18908,18286,622,-0.0449302412413316,-0.117909604611213,0.0280491221285497,"-0.04 (-0.12, 0.03)",0.227546447065302,0.487180444708173,51-60,0.268,Cortical,Volume of lateraloccipital (left hemisphere),Gram Negative,
