Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Other Potentially Persistent Viral Infections,18908,18802,106,-0.0592267168624056,-0.248635972337897,0.130182538613085,"-0.06 (-0.25, 0.13)",0.539947265614777,0.897450930126381,51-60,0.669,Cortical,Volume of bankssts (left hemisphere),Other Viral,
L_caudalanteriorcingulate,Other Potentially Persistent Viral Infections,18908,18802,106,0.0851175370123204,-0.108655841427609,0.27889091545225,"0.09 (-0.11, 0.28)",0.389251476567852,0.817428100792488,51-60,0.342,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Other Viral,
L_caudalmiddlefrontal,Other Potentially Persistent Viral Infections,18908,18802,106,0.046792087754307,-0.142328041625669,0.235912217134283,"0.05 (-0.14, 0.24)",0.627706646166681,0.903552683164523,51-60,0.837,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Other Viral,
L_cuneus,Other Potentially Persistent Viral Infections,18908,18802,106,0.135712507709433,-0.0500883275476967,0.321513342966563,"0.14 (-0.05, 0.32)",0.152249914545034,0.679787352979781,51-60,0.154,Cortical,Volume of cuneus (left hemisphere),Other Viral,
L_entorhinal,Other Potentially Persistent Viral Infections,18908,18802,106,0.0915464141915327,-0.0905948723093817,0.273687700692447,"0.09 (-0.09, 0.27)",0.324555776820635,0.778933864369524,51-60,0.973,Cortical,Volume of entorhinal (left hemisphere),Other Viral,
L_frontalpole,Other Potentially Persistent Viral Infections,18908,18802,106,0.0536581628108719,-0.123943603056184,0.231259928677928,"0.05 (-0.12, 0.23)",0.553727376088545,0.897450930126381,51-60,0.846,Cortical,Volume of frontalpole (left hemisphere),Other Viral,
L_fusiform,Other Potentially Persistent Viral Infections,18908,18802,106,0.0254812407452705,-0.152681171895184,0.203643653385725,"0.03 (-0.15, 0.20)",0.779222043935732,0.926601488102381,51-60,0.12,Cortical,Volume of fusiform (left hemisphere),Other Viral,
L_inferiorparietal,Other Potentially Persistent Viral Infections,18908,18802,106,-0.0392391830914255,-0.225350011772579,0.146871645589728,"-0.04 (-0.23, 0.15)",0.67942022197811,0.916426318817051,51-60,0.856,Cortical,Volume of inferiorparietal (left hemisphere),Other Viral,
L_inferiortemporal,Other Potentially Persistent Viral Infections,18908,18802,106,0.118822443629203,-0.0589632824349106,0.296608169693317,"0.12 (-0.06, 0.30)",0.190205424848301,0.679787352979781,51-60,0.016,Cortical,Volume of inferiortemporal (left hemisphere),Other Viral,
L_insula,Other Potentially Persistent Viral Infections,18619,18515,104,0.146007191708865,-0.0317853158622093,0.323799699279939,"0.15 (-0.03, 0.32)",0.107486648440191,0.629921753649492,51-60,0.002,Cortical,Volume of grey matter in Insular Cortex (left),Other Viral,
L_isthmuscingulate,Other Potentially Persistent Viral Infections,18908,18802,106,0.141924974487133,-0.0370519867758216,0.320901935750087,"0.14 (-0.04, 0.32)",0.120127265050626,0.672712684283506,51-60,0.13,Cortical,Volume of isthmuscingulate (left hemisphere),Other Viral,
L_lateraloccipital,Other Potentially Persistent Viral Infections,18908,18802,106,0.076854344161924,-0.0977583646712741,0.251467052995122,"0.08 (-0.10, 0.25)",0.388303888047206,0.817428100792488,51-60,0.035,Cortical,Volume of lateraloccipital (left hemisphere),Other Viral,
L_lateralorbitofrontal,Other Potentially Persistent Viral Infections,18908,18802,106,-0.0871460674216221,-0.263109852084169,0.0888177172409244,"-0.09 (-0.26, 0.09)",0.331692986788754,0.780712268861733,51-60,0.787,Cortical,Volume of lateralorbitofrontal (left hemisphere),Other Viral,
L_lingual,Other Potentially Persistent Viral Infections,18908,18802,106,-0.00619319656258507,-0.194406474835808,0.182020081710638,"-0.01 (-0.19, 0.18)",0.948575058765814,0.978668099655339,51-60,0.403,Cortical,Volume of lingual (left hemisphere),Other Viral,
L_medialorbitofrontal,Other Potentially Persistent Viral Infections,18908,18802,106,-0.0458254492361217,-0.22467617798978,0.133025279517536,"-0.05 (-0.22, 0.13)",0.615520310700459,0.903552683164523,51-60,0.911,Cortical,Volume of medialorbitofrontal (left hemisphere),Other Viral,
L_middletemporal,Other Potentially Persistent Viral Infections,18908,18802,106,0.0641105562239671,-0.110661309361043,0.238882421808977,"0.06 (-0.11, 0.24)",0.472144659868532,0.874856281521104,51-60,0.102,Cortical,Volume of middletemporal (left hemisphere),Other Viral,
L_paracentral,Other Potentially Persistent Viral Infections,18908,18802,106,0.101074519397755,-0.0836163298900858,0.285765368685596,"0.10 (-0.08, 0.29)",0.283426155165157,0.751825169490731,51-60,0.442,Cortical,Volume of paracentral (left hemisphere),Other Viral,
L_parahippocampal,Other Potentially Persistent Viral Infections,18908,18802,106,-0.00672476175426883,-0.195647714650594,0.182198191142056,"-0.01 (-0.20, 0.18)",0.944377543962936,0.978668099655339,51-60,0.616,Cortical,Volume of parahippocampal (left hemisphere),Other Viral,
L_parsopercularis,Other Potentially Persistent Viral Infections,18908,18802,106,0.0472022879145812,-0.145625055977723,0.240029631806885,"0.05 (-0.15, 0.24)",0.631367227567004,0.903552683164523,51-60,0.622,Cortical,Volume of parsopercularis (left hemisphere),Other Viral,
L_parsorbitalis,Other Potentially Persistent Viral Infections,18908,18802,106,-0.0559278531235476,-0.237915970625886,0.126060264378791,"-0.06 (-0.24, 0.13)",0.546937226780702,0.897450930126381,51-60,0.461,Cortical,Volume of parsorbitalis (left hemisphere),Other Viral,
L_parstriangularis,Other Potentially Persistent Viral Infections,18908,18802,106,0.0578039056000769,-0.132687561028816,0.24829537222897,"0.06 (-0.13, 0.25)",0.551996544131862,0.897450930126381,51-60,0.769,Cortical,Volume of parstriangularis (left hemisphere),Other Viral,
L_pericalcarine,Other Potentially Persistent Viral Infections,18908,18802,106,0.115612913450102,-0.0709044833947788,0.302130310294982,"0.12 (-0.07, 0.30)",0.224395530856959,0.686965262139229,51-60,0.327,Cortical,Volume of pericalcarine (left hemisphere),Other Viral,
L_postcentral,Other Potentially Persistent Viral Infections,18908,18802,106,0.0601570749955215,-0.12309312734109,0.243407277332133,"0.06 (-0.12, 0.24)",0.519936727096927,0.897450930126381,51-60,0.076,Cortical,Volume of postcentral (left hemisphere),Other Viral,
L_posteriorcingulate,Other Potentially Persistent Viral Infections,18908,18802,106,0.202689955840905,0.022959492683109,0.382420418998702,"0.20 (0.02, 0.38)",0.0270838542206326,0.275297172394855,51-60,0.017,Cortical,Volume of posteriorcingulate (left hemisphere),Other Viral,*
L_precentral,Other Potentially Persistent Viral Infections,18908,18802,106,0.0414892024706701,-0.135294443186831,0.218272848128172,"0.04 (-0.14, 0.22)",0.645513084073009,0.903718317702213,51-60,0.126,Cortical,Volume of precentral (left hemisphere),Other Viral,
L_precuneus,Other Potentially Persistent Viral Infections,18908,18802,106,0.0767909824315929,-0.104811895598293,0.258393860461479,"0.08 (-0.10, 0.26)",0.407213291245405,0.820941995150736,51-60,0.821,Cortical,Volume of precuneus (left hemisphere),Other Viral,
L_rostralanteriorcingulate,Other Potentially Persistent Viral Infections,18908,18802,106,0.100096457629018,-0.0869321354308692,0.287125050688905,"0.10 (-0.09, 0.29)",0.294179162849022,0.759173142913121,51-60,0.161,Cortical,Volume of rostralanteriorcingulate (left hemisphere),Other Viral,
L_rostralmiddlefrontal,Other Potentially Persistent Viral Infections,18908,18802,106,0.0817898346799963,-0.0934805106889262,0.257060180048919,"0.08 (-0.09, 0.26)",0.360373948894947,0.780712268861733,51-60,0.395,Cortical,Volume of rostralmiddlefrontal (left hemisphere),Other Viral,
L_superiorfrontal,Other Potentially Persistent Viral Infections,18908,18802,106,0.0276560614841311,-0.148454974775002,0.203767097743264,"0.03 (-0.15, 0.20)",0.758231947939167,0.926601488102381,51-60,0.352,Cortical,Volume of superiorfrontal (left hemisphere),Other Viral,
L_superiorparietal,Other Potentially Persistent Viral Infections,18908,18802,106,-0.0618751896009834,-0.247977242416801,0.124226863214834,"-0.06 (-0.25, 0.12)",0.514608868841892,0.897450930126381,51-60,0.134,Cortical,Volume of superiorparietal (left hemisphere),Other Viral,
L_superiortemporal,Other Potentially Persistent Viral Infections,18908,18802,106,-0.0218670069885777,-0.197117082066777,0.153383068089622,"-0.02 (-0.20, 0.15)",0.806790364996096,0.926601488102381,51-60,0.135,Cortical,Volume of superiortemporal (left hemisphere),Other Viral,
L_supramarginal,Other Potentially Persistent Viral Infections,18908,18802,106,-0.0431882902563718,-0.222295796604054,0.135919216091311,"-0.04 (-0.22, 0.14)",0.636477309117714,0.903552683164523,51-60,0.07,Cortical,Volume of supramarginal (left hemisphere),Other Viral,
L_temporalpole,Other Potentially Persistent Viral Infections,18619,18515,104,0.0494198704731158,-0.130465309922052,0.229305050868283,"0.05 (-0.13, 0.23)",0.590241034640859,0.903552683164523,51-60,0.147,Cortical,Volume of grey matter in Temporal Pole (left),Other Viral,
L_transversetemporal,Other Potentially Persistent Viral Infections,18908,18802,106,0.0720877909910381,-0.116406346070423,0.260581928052499,"0.07 (-0.12, 0.26)",0.453494365752444,0.867317409925489,51-60,0.624,Cortical,Volume of transversetemporal (left hemisphere),Other Viral,
Laccumb,Other Potentially Persistent Viral Infections,18617,18513,104,-0.131573822425961,-0.317753265218739,0.0546056203668176,"-0.13 (-0.32, 0.05)",0.166006336615436,0.679787352979781,51-60,0.132,SubCortical,Volume of accumbens (left),Other Viral,
Lamyg,Other Potentially Persistent Viral Infections,18617,18513,104,0.126423736301724,-0.0552449078161952,0.308092380419642,"0.13 (-0.06, 0.31)",0.172573563176518,0.679787352979781,51-60,0.229,SubCortical,Volume of amygdala (left),Other Viral,
