Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Fungal Infections,34331,31481,2850,0.0285188373220738,-0.00873412937966406,0.0657718040238117,"0.03 (-0.01, 0.07)",0.133495598639082,0.73408724467377,61-70,0.463,Cortical,Volume of bankssts (left hemisphere),Fungal,
L_caudalanteriorcingulate,Fungal Infections,34331,31481,2850,-0.0035941083577819,-0.0418562555717513,0.0346680388561875,"-0.00 (-0.04, 0.03)",0.853925635370067,0.949426973148337,61-70,0.994,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Fungal,
L_caudalmiddlefrontal,Fungal Infections,34331,31481,2850,0.00755873726891984,-0.0294566084153835,0.0445740829532232,"0.01 (-0.03, 0.04)",0.688975214533888,0.927170000148139,61-70,0.712,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Fungal,
L_cuneus,Fungal Infections,34331,31481,2850,0.00753577079411668,-0.0287604306897249,0.0438319722779583,"0.01 (-0.03, 0.04)",0.684054915627087,0.927170000148139,61-70,0.666,Cortical,Volume of cuneus (left hemisphere),Fungal,
L_entorhinal,Fungal Infections,34331,31481,2850,0.00867904681224555,-0.0277969270563417,0.0451550206808328,"0.01 (-0.03, 0.05)",0.640955225146587,0.927170000148139,61-70,0.542,Cortical,Volume of entorhinal (left hemisphere),Fungal,
L_frontalpole,Fungal Infections,34331,31481,2850,0.0152444138996405,-0.0213041362721702,0.0517929640714513,"0.02 (-0.02, 0.05)",0.413630976417129,0.906391357018405,61-70,0.373,Cortical,Volume of frontalpole (left hemisphere),Fungal,
L_fusiform,Fungal Infections,34331,31481,2850,0.00955410071722928,-0.0257110421371778,0.0448192435716363,"0.01 (-0.03, 0.04)",0.595411152600841,0.927170000148139,61-70,0.427,Cortical,Volume of fusiform (left hemisphere),Fungal,
L_inferiorparietal,Fungal Infections,34331,31481,2850,0.0162657569831058,-0.0204154150708495,0.052946929037061,"0.02 (-0.02, 0.05)",0.384771442318964,0.884110576481308,61-70,0.664,Cortical,Volume of inferiorparietal (left hemisphere),Fungal,
L_inferiortemporal,Fungal Infections,34331,31481,2850,0.0139494481538468,-0.020684399120499,0.0485832954281926,"0.01 (-0.02, 0.05)",0.429859731488831,0.910291196093996,61-70,0.826,Cortical,Volume of inferiortemporal (left hemisphere),Fungal,
L_insula,Fungal Infections,33568,30775,2793,0.00662130211788355,-0.028534067442641,0.0417766716784081,"0.01 (-0.03, 0.04)",0.712010254323992,0.927170000148139,61-70,0.026,Cortical,Volume of grey matter in Insular Cortex (left),Fungal,
L_isthmuscingulate,Fungal Infections,34331,31481,2850,0.0123201183938603,-0.022656191054661,0.0472964278423817,"0.01 (-0.02, 0.05)",0.489943821573632,0.927170000148139,61-70,0.837,Cortical,Volume of isthmuscingulate (left hemisphere),Fungal,
L_lateraloccipital,Fungal Infections,34331,31481,2850,0.00324061405436323,-0.0311643030388403,0.0376455311475667,"0.00 (-0.03, 0.04)",0.853531036595673,0.949426973148337,61-70,0.106,Cortical,Volume of lateraloccipital (left hemisphere),Fungal,
L_lateralorbitofrontal,Fungal Infections,34331,31481,2850,0.0116430155019969,-0.0227783456952063,0.0460643766992,"0.01 (-0.02, 0.05)",0.50734740726313,0.927170000148139,61-70,0.858,Cortical,Volume of lateralorbitofrontal (left hemisphere),Fungal,
L_lingual,Fungal Infections,34331,31481,2850,-0.00298379846269517,-0.039885374931528,0.0339177780061377,"-0.00 (-0.04, 0.03)",0.874075626073072,0.949426973148337,61-70,0.118,Cortical,Volume of lingual (left hemisphere),Fungal,
L_medialorbitofrontal,Fungal Infections,34331,31481,2850,0.0125543098424851,-0.022474138353128,0.0475827580380982,"0.01 (-0.02, 0.05)",0.482383231952475,0.927170000148139,61-70,0.552,Cortical,Volume of medialorbitofrontal (left hemisphere),Fungal,
L_middletemporal,Fungal Infections,34331,31481,2850,0.0117830017633866,-0.0228433766146758,0.046409380141449,"0.01 (-0.02, 0.05)",0.504789911669188,0.927170000148139,61-70,0.344,Cortical,Volume of middletemporal (left hemisphere),Fungal,
L_paracentral,Fungal Infections,34331,31481,2850,0.0110443570941116,-0.0260555380804545,0.0481442522686776,"0.01 (-0.03, 0.05)",0.559569355352962,0.927170000148139,61-70,0.299,Cortical,Volume of paracentral (left hemisphere),Fungal,
L_parahippocampal,Fungal Infections,34331,31481,2850,0.0165618741349996,-0.0213451475155459,0.0544688957855452,"0.02 (-0.02, 0.05)",0.391808093173997,0.884110576481308,61-70,0.86,Cortical,Volume of parahippocampal (left hemisphere),Fungal,
L_parsopercularis,Fungal Infections,34331,31481,2850,0.0022903766913011,-0.0349163881381137,0.0394971415207159,"0.00 (-0.03, 0.04)",0.903964329095414,0.960990408961801,61-70,0.978,Cortical,Volume of parsopercularis (left hemisphere),Fungal,
L_parsorbitalis,Fungal Infections,34331,31481,2850,0.0193504748581576,-0.0162162132951375,0.0549171630114527,"0.02 (-0.02, 0.05)",0.28625982394053,0.838352595462177,61-70,0.421,Cortical,Volume of parsorbitalis (left hemisphere),Fungal,
L_parstriangularis,Fungal Infections,34331,31481,2850,0.0134467365936832,-0.0229694324035214,0.0498629055908878,"0.01 (-0.02, 0.05)",0.469226747339638,0.927170000148139,61-70,0.917,Cortical,Volume of parstriangularis (left hemisphere),Fungal,
