Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Age group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Bacterial Infections without Sepsis,30001,15926,14075,-0.018476993108852,-0.0394881916168048,0.0025342053991008,"-0.02 (-0.04, 0.00)",0.0847834985801972,0.200444156420476,71-80,0.642,Cortical,Volume of bankssts (left hemisphere),No-Sepsis,
L_caudalanteriorcingulate,Bacterial Infections without Sepsis,30001,15926,14075,0.00265056609576786,-0.0196856508053728,0.0249867829969086,"0.00 (-0.02, 0.02)",0.816079881392894,0.875115447280891,71-80,0.237,Cortical,Volume of caudalanteriorcingulate (left hemisphere),No-Sepsis,
L_caudalmiddlefrontal,Bacterial Infections without Sepsis,30001,15926,14075,-0.0146038953990765,-0.0358498515989399,0.00664206080078692,"-0.01 (-0.04, 0.01)",0.177900060183876,0.332080112343235,71-80,0.561,Cortical,Volume of caudalmiddlefrontal (left hemisphere),No-Sepsis,
L_cuneus,Bacterial Infections without Sepsis,30001,15926,14075,-0.00797060026866269,-0.0290325900391827,0.0130913895018573,"-0.01 (-0.03, 0.01)",0.458244939543669,0.592193460333356,71-80,0.266,Cortical,Volume of cuneus (left hemisphere),No-Sepsis,
L_entorhinal,Bacterial Infections without Sepsis,30001,15926,14075,-0.0124827963598783,-0.0351854394957932,0.0102198467760366,"-0.01 (-0.04, 0.01)",0.281172779943322,0.460137373729743,71-80,0.317,Cortical,Volume of entorhinal (left hemisphere),No-Sepsis,
L_frontalpole,Bacterial Infections without Sepsis,30001,15926,14075,0.0121597844849946,-0.011149627964359,0.0354691969343482,"0.01 (-0.01, 0.04)",0.306556061743687,0.476709763100868,71-80,0.005,Cortical,Volume of frontalpole (left hemisphere),No-Sepsis,
L_fusiform,Bacterial Infections without Sepsis,30001,15926,14075,-0.0173332503554084,-0.0379139518152816,0.00324745110446486,"-0.02 (-0.04, 0.00)",0.0987968813651404,0.222292983071566,71-80,0.599,Cortical,Volume of fusiform (left hemisphere),No-Sepsis,
L_inferiorparietal,Bacterial Infections without Sepsis,30001,15926,14075,-0.0372856185329625,-0.0581462722134474,-0.0164249648524776,"-0.04 (-0.06, -0.02)",0.000460176712919488,0.0112845664665599,71-80,0.014,Cortical,Volume of inferiorparietal (left hemisphere),No-Sepsis,**
L_inferiortemporal,Bacterial Infections without Sepsis,30001,15926,14075,-0.0216709744937437,-0.0415737863989261,-0.00176816258856136,"-0.02 (-0.04, -0.00)",0.032836708831197,0.121860055912536,71-80,0.579,Cortical,Volume of inferiortemporal (left hemisphere),No-Sepsis,*
L_insula,Bacterial Infections without Sepsis,29683,15781,13902,-0.0226572125063337,-0.043774710235176,-0.00153971477749133,"-0.02 (-0.04, -0.00)",0.0354781668650957,0.122472576027454,71-80,0.712,Cortical,Volume of grey matter in Insular Cortex (left),No-Sepsis,*
L_isthmuscingulate,Bacterial Infections without Sepsis,30001,15926,14075,0.0124309706274089,-0.00784154871628214,0.0327034899711,"0.01 (-0.01, 0.03)",0.22941755239654,0.393287232679783,71-80,0.325,Cortical,Volume of isthmuscingulate (left hemisphere),No-Sepsis,
L_lateraloccipital,Bacterial Infections without Sepsis,30001,15926,14075,-0.0232098826323442,-0.0432299761618964,-0.0031897891027921,"-0.02 (-0.04, -0.00)",0.0230732987447834,0.0985503607404308,71-80,0.075,Cortical,Volume of lateraloccipital (left hemisphere),No-Sepsis,*
L_lateralorbitofrontal,Bacterial Infections without Sepsis,30001,15926,14075,-0.0100982017277269,-0.0303939475860311,0.0101975441305772,"-0.01 (-0.03, 0.01)",0.329456728019427,0.481680704748771,71-80,0.865,Cortical,Volume of lateralorbitofrontal (left hemisphere),No-Sepsis,
L_lingual,Bacterial Infections without Sepsis,30001,15926,14075,0.0112966306501895,-0.0100291770658943,0.0326224383662733,"0.01 (-0.01, 0.03)",0.299154125879943,0.47116774826091,71-80,0.096,Cortical,Volume of lingual (left hemisphere),No-Sepsis,
L_medialorbitofrontal,Bacterial Infections without Sepsis,30001,15926,14075,-0.0140997160612544,-0.0343421650527903,0.00614273293028157,"-0.01 (-0.03, 0.01)",0.172183988940838,0.33027408054425,71-80,0.507,Cortical,Volume of medialorbitofrontal (left hemisphere),No-Sepsis,
L_middletemporal,Bacterial Infections without Sepsis,30001,15926,14075,-0.0266745926697586,-0.0463853196567749,-0.00696386568274229,"-0.03 (-0.05, -0.01)",0.00799324105758571,0.0516486345259385,71-80,0.444,Cortical,Volume of middletemporal (left hemisphere),No-Sepsis,*
L_paracentral,Bacterial Infections without Sepsis,30001,15926,14075,-0.0176278267316033,-0.0396599756938436,0.00440432223063697,"-0.02 (-0.04, 0.00)",0.116839888826206,0.243335966811602,71-80,0.286,Cortical,Volume of paracentral (left hemisphere),No-Sepsis,
L_parahippocampal,Bacterial Infections without Sepsis,30000,15926,14074,-0.0121164637760445,-0.0348773149613977,0.0106443874093088,"-0.01 (-0.03, 0.01)",0.296769060882205,0.47116774826091,71-80,0.397,Cortical,Volume of parahippocampal (left hemisphere),No-Sepsis,
