Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P FDR,Sex group,P interaction,Atlas,Description,Abbreviations,p_star
L_bankssts,Fungal Infections,38951,35385,3566,0.0253802914100188,-0.010572578387775,0.0613331612078126,"0.03 (-0.01, 0.06)",0.166475156865269,0.599378466820887,Male,0.164,Cortical,Volume of bankssts (left hemisphere),Fungal,
L_caudalanteriorcingulate,Fungal Infections,38951,35385,3566,-0.00216876206764353,-0.0380552099704129,0.0337176858351258,"-0.00 (-0.04, 0.03)",0.905710000623364,0.933940611572355,Male,0.257,Cortical,Volume of caudalanteriorcingulate (left hemisphere),Fungal,
L_caudalmiddlefrontal,Fungal Infections,38951,35385,3566,0.0292644936772503,-0.00598537588304016,0.0645143632375408,"0.03 (-0.01, 0.06)",0.103699412846167,0.599378466820887,Male,0.403,Cortical,Volume of caudalmiddlefrontal (left hemisphere),Fungal,
L_cuneus,Fungal Infections,38951,35385,3566,0.0178289800009528,-0.0172597211140235,0.0529176811159291,"0.02 (-0.02, 0.05)",0.319299279794171,0.717632324603623,Male,0.157,Cortical,Volume of cuneus (left hemisphere),Fungal,
L_entorhinal,Fungal Infections,38951,35385,3566,-0.00758226884251352,-0.0440235514289836,0.0288590137439566,"-0.01 (-0.04, 0.03)",0.68340903866888,0.929449732318578,Male,0.049,Cortical,Volume of entorhinal (left hemisphere),Fungal,
L_frontalpole,Fungal Infections,38951,35385,3566,0.0286697312788852,-0.00650830861910405,0.0638477711768744,"0.03 (-0.01, 0.06)",0.110184771716035,0.599378466820887,Male,0.683,Cortical,Volume of frontalpole (left hemisphere),Fungal,
L_fusiform,Fungal Infections,38951,35385,3566,0.0109349039925035,-0.0227960838172678,0.0446658918022748,"0.01 (-0.02, 0.04)",0.525171019261593,0.81429451632855,Male,0.024,Cortical,Volume of fusiform (left hemisphere),Fungal,
L_inferiorparietal,Fungal Infections,38951,35385,3566,0.0179783740885348,-0.0165219734032722,0.0524787215803418,"0.02 (-0.02, 0.05)",0.30707946186038,0.717632324603623,Male,0.082,Cortical,Volume of inferiorparietal (left hemisphere),Fungal,
L_inferiortemporal,Fungal Infections,38951,35385,3566,0.0196739501701008,-0.0135387406172237,0.0528866409574253,"0.02 (-0.01, 0.05)",0.245630669260574,0.681743486421493,Male,0.222,Cortical,Volume of inferiortemporal (left hemisphere),Fungal,
L_insula,Fungal Infections,38344,34838,3506,0.0384868290431869,0.0051187278018719,0.0718549302845019,"0.04 (0.01, 0.07)",0.0237835831127673,0.467347900125565,Male,0.001,Cortical,Volume of grey matter in Insular Cortex (left),Fungal,*
L_isthmuscingulate,Fungal Infections,38951,35385,3566,0.0099812686475609,-0.0237598449012723,0.043722382196394,"0.01 (-0.02, 0.04)",0.562044105123943,0.843066157685914,Male,0.072,Cortical,Volume of isthmuscingulate (left hemisphere),Fungal,
L_lateraloccipital,Fungal Infections,38951,35385,3566,0.0190242895115113,-0.0139069647635167,0.0519555437865393,"0.02 (-0.01, 0.05)",0.257515019222255,0.686706717926014,Male,0.004,Cortical,Volume of lateraloccipital (left hemisphere),Fungal,
L_lateralorbitofrontal,Fungal Infections,38951,35385,3566,-0.00542108223484844,-0.0381172947886494,0.0272751303189525,"-0.01 (-0.04, 0.03)",0.745201632629712,0.929449732318578,Male,0.113,Cortical,Volume of lateralorbitofrontal (left hemisphere),Fungal,
L_lingual,Fungal Infections,38951,35385,3566,0.0243256702929515,-0.0108918437663324,0.0595431843522354,"0.02 (-0.01, 0.06)",0.175794919007725,0.602725436597915,Male,0.016,Cortical,Volume of lingual (left hemisphere),Fungal,
L_medialorbitofrontal,Fungal Infections,38951,35385,3566,0.0284519212859157,-0.00480789622006787,0.0617117387918993,"0.03 (-0.00, 0.06)",0.093610726031729,0.582466739752981,Male,0.293,Cortical,Volume of medialorbitofrontal (left hemisphere),Fungal,
L_middletemporal,Fungal Infections,38951,35385,3566,0.0229908504092431,-0.00994436920653425,0.0559260700250205,"0.02 (-0.01, 0.06)",0.171250990520254,0.599378466820887,Male,0.339,Cortical,Volume of middletemporal (left hemisphere),Fungal,
L_paracentral,Fungal Infections,38951,35385,3566,0.0234130233130131,-0.011688534889525,0.0585145815155513,"0.02 (-0.01, 0.06)",0.191100749416171,0.608404752991615,Male,0.248,Cortical,Volume of paracentral (left hemisphere),Fungal,
L_parahippocampal,Fungal Infections,38950,35384,3566,0.0255731657751863,-0.0100914533036234,0.061237784853996,"0.03 (-0.01, 0.06)",0.159902125574989,0.599378466820887,Male,0.449,Cortical,Volume of parahippocampal (left hemisphere),Fungal,
