Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
ACD,All Infectious Diseases,3592,290,3302,120,1868,170,1434,1.50832898463063,1.1838390733218,1.92176147683076,"1.51 (1.18, 1.92)",0.000882843210436163,0.543831417628676,71-80,<0.001,Any,*
ACD,Bacterial Infections,3665,292,3373,137,2060,155,1313,1.61621067861763,1.27060298000312,2.05582467441659,"1.62 (1.27, 2.06)",9.19309918667239e-05,0.0566294909899019,71-80,<0.001,Bacterial,*
ACD,Invasive Bacterial Infections,3459,294,3165,208,2464,86,701,1.99696306563435,1.52892089774514,2.60828502729544,"2.00 (1.53, 2.61)",3.85909210477397e-07,0.000237720073654076,71-80,<0.001,Invasive,**
ACD,Localised Bacterial Infections,3648,303,3345,164,2222,139,1123,1.57961685732565,1.24974310287541,1.99656186155892,"1.58 (1.25, 2.00)",0.000130599065008135,0.0804490240450114,71-80,<0.001,Localised,*
ACD,Bacterial Infections with Sepsis,3152,307,2845,292,2661,15,184,1.99958523958918,1.11370370636718,3.59013003864843,"2.00 (1.11, 3.59)",0.0203076111680992,1.0,71-80,<0.001,Sepsis,*
ACD,Bacterial Infections without Sepsis,3650,292,3358,138,2063,154,1295,1.62040048576657,1.2750401945188,2.05930585212921,"1.62 (1.28, 2.06)",7.92141984971733e-05,0.0487959462742588,71-80,<0.001,No-Sepsis,**
ACD,Extracellular Bacterial Infections,3213,303,2910,258,2627,45,283,2.41714226971,1.70691112903735,3.42289452135325,"2.42 (1.71, 3.42)",6.61920362493511e-07,0.000407742943296003,71-80,<0.001,Extracellular,**
ACD,Intracellular Bacterial Infections,2936,301,2635,300,2613,1,22,0.482660322175342,0.0595643017862782,3.91108398178306,"0.48 (0.06, 3.91)",0.494996817863202,1.0,71-80,0.021,Intracellular,
ACD,Gram Positive Bacterial Infections,3071,304,2767,282,2623,22,144,2.38988634625166,1.51876521003989,3.76065813875871,"2.39 (1.52, 3.76)",0.000165443146640626,0.101912978330626,71-80,0.002,Gram Positive,*
ACD,Gram Negative Bacterial Infections,3154,305,2849,274,2651,31,198,2.43673253256617,1.60752552376775,3.69366790603085,"2.44 (1.61, 3.69)",2.70860830083608e-05,0.0166850271331502,71-80,0.028,Gram Negative,**
ACD,Mycobacterial Infections,2929,302,2627,302,2622,0,5,1.0,1.0,1.0,"0.00 (0.00, 0.00)",1.61451385917737e-143,9.94540537253262e-141,71-80,0.187,Mycobacterial,**
ACD,Acute Bacterial Infections,3689,296,3393,141,2090,155,1303,1.64913300120317,1.30019039319345,2.09172415816545,"1.65 (1.30, 2.09)",3.72105337690859e-05,0.0229216888017569,71-80,<0.001,Acute Bacterial,**
ACD,Chronic Bacterial Infections,2986,302,2684,296,2612,6,72,0.799793625447591,0.352363728935841,1.81536801542668,"0.80 (0.35, 1.82)",0.593219435773389,1.0,71-80,0.001,Chronic Bacterial,
ACD,Viral Infections,3106,303,2803,263,2419,40,384,1.06669969274843,0.759927750932233,1.49731107084028,"1.07 (0.76, 1.50)",0.708996921090762,1.0,71-80,0.001,Viral,
ACD,Acute Viral Infections,3054,303,2751,274,2493,29,258,1.15477656715769,0.783553912345487,1.70187258214918,"1.15 (0.78, 1.70)",0.46705933817192,1.0,71-80,0.002,Acute Viral,
ACD,Herpes Viral Infections,2991,306,2685,293,2528,13,157,0.844308701384508,0.476854135482368,1.49491664261755,"0.84 (0.48, 1.49)",0.561513085212982,1.0,71-80,0.392,Herpes,
ACD,Other Potentially Persistent Viral Infections,2965,307,2658,307,2653,0,5,1.0,1.0,1.0,"0.00 (0.00, 0.00)",1.18496664429506e-128,7.29939452885754e-126,71-80,0.051,Other Viral,**
ACD,Parasitic Infections,2964,307,2657,305,2639,2,18,0.802922476651784,0.213928327153761,3.01355370786996,"0.80 (0.21, 3.01)",0.744977443058273,1.0,71-80,0.597,Parasitic,
ACD,Fungal Infections,3130,307,2823,269,2527,38,296,1.39081018693357,0.98529682580603,1.96321851995795,"1.39 (0.99, 1.96)",0.0606908878172343,1.0,71-80,0.001,Fungal,
ACD,Acute Infections,3625,293,3332,132,1980,161,1352,1.58865579500819,1.25162117568813,2.01644657667725,"1.59 (1.25, 2.02)",0.00014193064991104,0.0874292803452005,71-80,<0.001,Acute,*
ACD,Chronic Infections,3008,301,2707,280,2473,21,234,0.858133346792298,0.544361599461151,1.35276412150653,"0.86 (0.54, 1.35)",0.510001383199792,1.0,71-80,0.001,Chronic,
