Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Sex group,P interaction,Abbreviations,p_star
Depression,All Infectious Diseases,243033,11588,231445,6244,152685,5344,78760,1.63359109313065,1.57232047578791,1.69724932076492,"1.63 (1.57, 1.70)",1.0341100578135e-139,6.37011795613118e-137,Female,<0.001,Any,**
Depression,Bacterial Infections,262590,12600,249990,7502,176662,5098,73328,1.6836757584543,1.62201594447297,1.74767952760647,"1.68 (1.62, 1.75)",6.5349180592678e-165,4.02550952450896e-162,Female,<0.001,Bacterial,**
Depression,Invasive Bacterial Infections,257166,13629,243537,11699,214999,1930,28538,1.79999583496139,1.71240629843332,1.89206557394856,"1.80 (1.71, 1.89)",5.32671689319589e-118,3.28125760620867e-115,Female,<0.001,Invasive,**
Depression,Localised Bacterial Infections,264436,13058,251378,8434,186546,4624,64832,1.64185394328611,1.58140315174347,1.70461552964038,"1.64 (1.58, 1.70)",5.79664683820987e-148,3.57073445233728e-145,Female,0.002,Localised,**
Depression,Bacterial Infections with Sepsis,250415,14216,236199,13907,229945,309,6254,2.27249952711464,2.02053958219948,2.55587870994077,"2.27 (2.02, 2.56)",1.1508028464257e-42,7.08894553398233e-40,Female,0.004,Sepsis,**
Depression,Bacterial Infections without Sepsis,261924,12609,249315,7545,176856,5064,72459,1.67788263572918,1.616406828915,1.74169651409555,"1.68 (1.62, 1.74)",1.29726989606882e-162,7.99118255978396e-160,Female,<0.001,No-Sepsis,**
Depression,Extracellular Bacterial Infections,249459,13970,235489,13154,224258,816,11231,2.05314365938883,1.90758562134249,2.20980848195004,"2.05 (1.91, 2.21)",6.09114634572403e-82,3.752146148966e-79,Female,0.156,Extracellular,**
Depression,Intracellular Bacterial Infections,243422,14128,229294,14042,228368,86,926,1.67027438651445,1.347743636902,2.06999050105632,"1.67 (1.35, 2.07)",2.78419116419975e-06,0.00171506175714704,Female,0.857,Intracellular,**
Depression,Gram Positive Bacterial Infections,246624,14131,232493,13715,227101,416,5392,1.91471086640512,1.73091193239676,2.1180267079524,"1.91 (1.73, 2.12)",1.73600125313494e-36,1.06937677193112e-33,Female,0.078,Gram Positive,**
Depression,Gram Negative Bacterial Infections,248884,14041,234843,13463,226601,578,8242,2.14670290538709,1.96853099724782,2.34100116809959,"2.15 (1.97, 2.34)",6.59351185029585e-67,4.06160329978224e-64,Female,0.353,Gram Negative,**
Depression,Mycobacterial Infections,243369,14145,229224,14123,228935,22,289,1.35802239742438,0.892931844972365,2.06535901064579,"1.36 (0.89, 2.07)",0.152549895405894,1.0,Female,0.284,Mycobacterial,
Depression,Mycoplasma Infections,244586,14230,230356,14220,230303,10,53,3.59019113303888,1.95813590075789,6.58252186008241,"3.59 (1.96, 6.58)",3.58675197238137e-05,0.0220943921498693,Female,0.174,Mycoplasma,**
Depression,Acute Bacterial Infections,262611,12704,249907,7707,178574,4997,71333,1.68770908696834,1.62578804178324,1.75198850590099,"1.69 (1.63, 1.75)",8.49800517372519e-166,5.23477118701472e-163,Female,<0.001,Acute Bacterial,**
Depression,Chronic Bacterial Infections,246986,14106,232880,13750,227741,356,5139,1.43465599483697,1.28816846119084,1.597801751503,"1.43 (1.29, 1.60)",5.09879303681875e-11,3.14085651068035e-08,Female,0.07,Chronic Bacterial,**
Depression,Viral Infections,228868,12732,216136,11171,192108,1561,24028,1.27731319217529,1.21008764907652,1.34827340164172,"1.28 (1.21, 1.35)",7.13109419719262e-19,4.39275402547065e-16,Female,0.026,Viral,**
Depression,Acute Viral Infections,232056,13102,218954,11928,201559,1174,17395,1.32292051074669,1.24444233597554,1.40634774883508,"1.32 (1.24, 1.41)",2.99797101200002e-19,1.84675014339201e-16,Female,0.017,Acute Viral,**
Depression,Herpes Viral Infections,227588,13126,214462,12565,204871,561,9591,1.13457785888328,1.04116806589614,1.23636803704713,"1.13 (1.04, 1.24)",0.00397320971725146,1.0,Female,0.142,Herpes,*
Depression,Other Potentially Persistent Viral Infections,244754,14217,230537,14166,229892,51,645,1.3586453603228,1.02254331964978,1.80522152915623,"1.36 (1.02, 1.81)",0.0345401786127214,1.0,Female,0.026,Other Viral,*
Depression,Parasitic Infections,244277,14168,230109,14031,228394,137,1715,1.31129084389516,1.10299318860188,1.55892501880527,"1.31 (1.10, 1.56)",0.00213597207396445,1.0,Female,0.651,Parasitic,*
Depression,Fungal Infections,251853,14100,237753,12923,220313,1177,17440,1.33996515930947,1.26095416880886,1.42392695355403,"1.34 (1.26, 1.42)",3.81311852949706e-21,2.34888101417019e-18,Female,0.791,Fungal,**
Depression,Acute Infections,248030,11977,236053,6890,162941,5087,73112,1.66804008204881,1.60581977760091,1.73267122134853,"1.67 (1.61, 1.73)",2.35686486981298e-153,1.4518287598048e-150,Female,<0.001,Acute,**
Depression,Chronic Infections,229724,12958,216766,11959,201263,999,15503,1.25715627762593,1.17712582430953,1.3426278429507,"1.26 (1.18, 1.34)",9.15595302923181e-12,5.6400670660068e-09,Female,0.004,Chronic,**
