Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Sex group,P interaction,Abbreviations,p_star
VD,All Infectious Diseases,232022,1354,230668,407,144509,947,86159,2.61508974757015,2.32401782279575,2.94261701470934,"2.62 (2.32, 2.94)",2.17275709302005e-57,1.33841836930035e-54,Male,0.068,Any,**
VD,Bacterial Infections,254015,1394,252621,478,170925,916,81696,2.7862203185194,2.48735908436524,3.12099033554353,"2.79 (2.49, 3.12)",4.17510677725743e-70,2.57186577479057e-67,Male,0.052,Bacterial,**
VD,Invasive Bacterial Infections,249779,1408,248371,866,208302,542,40069,3.07291282095376,2.74601710434511,3.43872337511677,"3.07 (2.75, 3.44)",3.21372964781819e-85,1.97965746305601e-82,Male,0.392,Invasive,**
VD,Localised Bacterial Infections,254273,1444,252829,633,183193,811,69636,2.43113126755026,2.18438748389141,2.70574670640915,"2.43 (2.18, 2.71)",1.63343555166113e-59,1.00619629982326e-56,Male,0.718,Localised,**
VD,Bacterial Infections with Sepsis,238566,1459,237107,1319,226633,140,10474,3.45330056127557,2.88118797833629,4.13901656406059,"3.45 (2.88, 4.14)",5.23694914062367e-41,3.22596067062418e-38,Male,0.309,Sepsis,**
VD,Bacterial Infections without Sepsis,253292,1394,251898,489,171199,905,80699,2.72308425977783,2.4320469229738,3.04894935036155,"2.72 (2.43, 3.05)",1.37953657248668e-67,8.49794528651798e-65,Male,0.06,No-Sepsis,**
VD,Extracellular Bacterial Infections,237727,1455,236272,1215,221234,240,15038,3.03290568647181,2.62392448004401,3.50563325011502,"3.03 (2.62, 3.51)",6.04318619297103e-51,3.72260269487016e-48,Male,0.134,Extracellular,**
VD,Intracellular Bacterial Infections,228159,1449,226710,1432,225221,17,1489,1.7561488695176,1.08570553641182,2.84060341269011,"1.76 (1.09, 2.84)",0.0217270038610622,1.0,Male,0.787,Intracellular,*
VD,Gram Positive Bacterial Infections,233813,1456,232357,1337,223572,119,8785,2.51077709691608,2.07494929927774,3.03814730923434,"2.51 (2.07, 3.04)",2.96929725612586e-21,1.82908710977353e-18,Male,0.521,Gram Positive,**
VD,Gram Negative Bacterial Infections,235635,1457,234178,1275,223941,182,10237,3.30162730944972,2.80360499914506,3.88811651207224,"3.30 (2.80, 3.89)",1.70647999059511e-46,1.05119167420659e-43,Male,0.248,Gram Negative,**
VD,Mycobacterial Infections,227819,1450,226369,1445,225946,5,423,1.89610283154742,0.780822485612971,4.60438321647436,"1.90 (0.78, 4.60)",0.157536058298864,1.0,Male,0.636,Mycobacterial,
VD,Mycoplasma Infections,228915,1459,227456,1454,227368,5,88,10.6665449675055,4.42591633177555,25.7065820984856,"10.67 (4.43, 25.71)",1.33266658812202e-07,8.20922618283166e-05,Male,0.973,Mycoplasma,**
VD,Acute Bacterial Infections,254050,1401,252649,491,172865,910,79784,2.82805186539679,2.52718668129394,3.16473547940639,"2.83 (2.53, 3.16)",2.4444792185305e-73,1.50579919861479e-70,Male,0.039,Acute Bacterial,**
VD,Chronic Bacterial Infections,231981,1450,230531,1386,224481,64,6050,1.71681221807703,1.33126726155886,2.21401387778983,"1.72 (1.33, 2.21)",3.11444534844733e-05,0.0191849833464356,Male,0.322,Chronic Bacterial,**
VD,Viral Infections,214223,1424,212799,1191,189461,233,23338,1.4986589926054,1.30134770953944,1.72588675544057,"1.50 (1.30, 1.73)",1.94376553658227e-08,1.19735957053468e-05,Male,0.258,Viral,**
VD,Acute Viral Infections,217827,1432,216395,1254,198896,178,17499,1.66365444491676,1.42090278776185,1.9478785853119,"1.66 (1.42, 1.95)",2.52727530920409e-10,1.55680159046972e-07,Male,0.366,Acute Viral,**
VD,Herpes Viral Infections,212368,1444,210924,1373,202871,71,8053,1.09208219630614,0.859545937953342,1.38752738024525,"1.09 (0.86, 1.39)",0.470880002693451,1.0,Male,0.791,Herpes,
VD,Other Potentially Persistent Viral Infections,229100,1458,227642,1453,226730,5,912,1.3021321344105,0.530921659854591,3.19359375153166,"1.30 (0.53, 3.19)",0.564101785270294,1.0,Male,0.339,Other Viral,
VD,Parasitic Infections,228657,1455,227202,1449,225334,6,1868,0.54108014987507,0.24150394871332,1.21226890967469,"0.54 (0.24, 1.21)",0.135628592293474,1.0,Male,0.021,Parasitic,
VD,Fungal Infections,237902,1458,236444,1274,214179,184,22265,1.25068025037623,1.07039764916217,1.46132709643514,"1.25 (1.07, 1.46)",0.00485397422835896,1.0,Male,0.124,Fungal,*
VD,Acute Infections,238183,1369,236814,452,156332,917,80482,2.76672567031265,2.46624118945726,3.10382089452149,"2.77 (2.47, 3.10)",2.01234757220807e-67,1.23960610448017e-64,Male,0.058,Acute,**
VD,Chronic Infections,215265,1433,213832,1294,198774,139,15058,1.28123952056211,1.0737844829598,1.52877484737473,"1.28 (1.07, 1.53)",0.00596183691139123,1.0,Male,0.682,Chronic,*
