Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Cognition,Reaction time,All Infectious Diseases,91366,71939,19427,-0.0634999481311499,-0.0772058553571057,-0.0497940409051942,"-0.06 (-0.08, -0.05)",1.09951072755845e-19,1.35459721635201e-16,40-50,<0.001,Any,**
Cognition,Reaction time,Bacterial Infections,97706,87904,9802,-0.047918902881892,-0.0658573790324131,-0.0299804267313709,"-0.05 (-0.07, -0.03)",1.64699447083908e-07,0.000202909718807375,40-50,<0.001,Bacterial,**
Cognition,Reaction time,Invasive Bacterial Infections,110626,107894,2732,-0.0115517090496815,-0.0442603863891092,0.0211569682897463,"-0.01 (-0.04, 0.02)",0.488808680477593,1,40-50,0.117,Invasive,
Cognition,Reaction time,Localised Bacterial Infections,100922,92718,8204,-0.0566943925020657,-0.0761529565911779,-0.0372358284129535,"-0.06 (-0.08, -0.04)",1.12885894483843e-08,1.39075422004095e-05,40-50,<0.001,Localised,**
Cognition,Reaction time,Bacterial Infections with Sepsis,115711,115590,121,0.167258075421274,0.0130539518589238,0.321462198983624,"0.17 (0.01, 0.32)",0.0335133273752894,1,40-50,<0.001,Sepsis,*
Cognition,Reaction time,Bacterial Infections without Sepsis,97770,88017,9753,-0.0487879778734318,-0.0667648124821113,-0.0308111432647522,"-0.05 (-0.07, -0.03)",1.04405596211463e-07,0.000128627694532522,40-50,<0.001,No-Sepsis,**
Cognition,Reaction time,Extracellular Bacterial Infections,114666,113104,1562,-0.032256269540879,-0.0754778654375788,0.0109653263558207,"-0.03 (-0.08, 0.01)",0.14354231101961,1,40-50,0.117,Extracellular,
Cognition,Reaction time,Intracellular Bacterial Infections,115400,115213,187,0.0736720158996658,-0.0501678785707796,0.197511910370111,"0.07 (-0.05, 0.20)",0.243621114211962,1,40-50,0.038,Intracellular,
Cognition,Reaction time,Gram Positive Bacterial Infections,114984,114128,856,-0.00773895121807726,-0.0659070384582551,0.0504291360221006,"-0.01 (-0.07, 0.05)",0.794273884453792,1,40-50,0.387,Gram Positive,
Cognition,Reaction time,Gram Negative Bacterial Infections,115251,114367,884,-0.027199728962625,-0.0844427515106921,0.0300432935854421,"-0.03 (-0.08, 0.03)",0.351694731960095,1,40-50,0.004,Gram Negative,
Cognition,Reaction time,Mycobacterial Infections,115658,115577,81,0.0802621847557842,-0.107946881331045,0.268471250842614,"0.08 (-0.11, 0.27)",0.403246730422961,1,40-50,0.075,Mycobacterial,
Cognition,Reaction time,Mycoplasma Infections,115864,115857,7,-0.021725347329072,-0.662405584884721,0.618954890226577,"-0.02 (-0.66, 0.62)",0.947009561852592,1,40-50,0.553,Mycoplasma,
Cognition,Reaction time,Acute Bacterial Infections,98378,88795,9583,-0.0497610430395008,-0.0679056245733171,-0.0316164615056845,"-0.05 (-0.07, -0.03)",7.66643016971028e-08,9.44504196908307e-05,40-50,<0.001,Acute Bacterial,**
Cognition,Reaction time,Chronic Bacterial Infections,114941,114587,354,0.103530726405268,0.0134820893172875,0.193579363493248,"0.10 (0.01, 0.19)",0.0242336943634121,1,40-50,0.106,Chronic Bacterial,*
Cognition,Reaction time,Viral Infections,107245,91763,15482,-0.0818767368275227,-0.0967598322787928,-0.0669936413762526,"-0.08 (-0.10, -0.07)",4.29875351187237e-27,5.29606432662676e-24,40-50,0.005,Viral,**
Cognition,Reaction time,Acute Viral Infections,109846,98866,10980,-0.078950942679978,-0.0961294622684276,-0.0617724230915283,"-0.08 (-0.10, -0.06)",2.13251615196299e-19,2.6272598992184e-16,40-50,0.042,Acute Viral,**
Cognition,Reaction time,Herpes Viral Infections,112387,98941,13446,-0.0862896959758855,-0.102073971597,-0.070505420354771,"-0.09 (-0.10, -0.07)",8.92986375853936e-27,1.10015921505205e-23,40-50,0.085,Herpes,**
Cognition,Reaction time,Other Potentially Persistent Viral Infections,115515,115352,163,0.0705464752583124,-0.0622467626167722,0.203339713133397,"0.07 (-0.06, 0.20)",0.297765066612099,1,40-50,0.135,Other Viral,
Cognition,Reaction time,Parasitic Infections,114979,114579,400,-0.00057349539661108,-0.0854505984545861,0.0843036076613639,"-0.00 (-0.09, 0.08)",0.989433808583983,1,40-50,0.004,Parasitic,
Cognition,Reaction time,Fungal Infections,111740,110201,1539,-0.0208868097493447,-0.0644084884454633,0.0226348689467739,"-0.02 (-0.06, 0.02)",0.346896044609507,1,40-50,0.007,Fungal,
Cognition,Reaction time,Acute Infections,94901,78811,16090,-0.0631125441110107,-0.0777727982554722,-0.0484522899665491,"-0.06 (-0.08, -0.05)",3.27910759315885e-17,4.0398605547717e-14,40-50,<0.001,Acute,**
Cognition,Reaction time,Chronic Infections,110626,96761,13865,-0.0808820984417072,-0.0964096306791367,-0.0653545662042777,"-0.08 (-0.10, -0.07)",1.84416250818207e-24,2.27200821008031e-21,40-50,0.027,Chronic,**
