Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Cognition,Prospective memory,All Infectious Diseases,76825,47065,29760,-0.00481393088124032,-0.0204261566588334,0.0107982948963528,"-0.00 (-0.02, 0.01)",0.545611427728243,1,61-70,0.117,Any,
Cognition,Prospective memory,Bacterial Infections,76825,54511,22314,0.00315986190978533,-0.0136133791005813,0.019933102920152,"0.00 (-0.01, 0.02)",0.711951566345275,1,61-70,0.45,Bacterial,
Cognition,Prospective memory,Invasive Bacterial Infections,76825,69984,6841,-0.00984347919070919,-0.036561641595638,0.0168746832142196,"-0.01 (-0.04, 0.02)",0.470235572592472,1,61-70,0.246,Invasive,
Cognition,Prospective memory,Localised Bacterial Infections,76825,58407,18418,0.0113314754344911,-0.0065001641634653,0.0291631150324476,"0.01 (-0.01, 0.03)",0.212945086370103,1,61-70,0.103,Localised,
Cognition,Prospective memory,Bacterial Infections with Sepsis,76825,76387,438,0.0713090172715246,-0.0296161867040016,0.172234221247051,"0.07 (-0.03, 0.17)",0.166105271866117,1,61-70,0.714,Sepsis,
Cognition,Prospective memory,Bacterial Infections without Sepsis,76825,54651,22174,0.003417241723464,-0.0133864051033626,0.0202208885502906,"0.00 (-0.01, 0.02)",0.690195971475385,1,61-70,0.513,No-Sepsis,
Cognition,Prospective memory,Extracellular Bacterial Infections,76825,74020,2805,-0.018908668255758,-0.0594274123087052,0.0216100757971892,"-0.02 (-0.06, 0.02)",0.360372782793922,1,61-70,0.783,Extracellular,
Cognition,Prospective memory,Intracellular Bacterial Infections,76825,76009,816,0.0625379749747851,-0.0115373927753152,0.136613342724885,"0.06 (-0.01, 0.14)",0.097985071639762,1,61-70,0.144,Intracellular,
Cognition,Prospective memory,Gram Positive Bacterial Infections,76825,75276,1549,-0.0312053838520704,-0.08525509941363,0.0228443317094892,"-0.03 (-0.09, 0.02)",0.257808241683143,1,61-70,0.535,Gram Positive,
Cognition,Prospective memory,Gram Negative Bacterial Infections,76825,75125,1700,0.00636075850372719,-0.0453181750061038,0.0580396920135581,"0.01 (-0.05, 0.06)",0.809369332838269,1,61-70,0.007,Gram Negative,
Cognition,Prospective memory,Mycobacterial Infections,76825,76233,592,0.0241832980963957,-0.0626601149300476,0.111026711122839,"0.02 (-0.06, 0.11)",0.585204965552812,1,61-70,0.237,Mycobacterial,
Cognition,Prospective memory,Mycoplasma Infections,76825,76803,22,0.554929662128999,0.106116285202881,1.00374303905512,"0.55 (0.11, 1.00)",0.0153778135929046,1,61-70,0.622,Mycoplasma,*
Cognition,Prospective memory,Acute Bacterial Infections,76825,55180,21645,0.00180649753086767,-0.0151216080832096,0.0187346031449449,"0.00 (-0.02, 0.02)",0.834321893929372,1,61-70,0.306,Acute Bacterial,
Cognition,Prospective memory,Chronic Bacterial Infections,76825,75728,1097,0.0147728575182711,-0.0492581547216844,0.0788038697582266,"0.01 (-0.05, 0.08)",0.651127296292202,1,61-70,0.48,Chronic Bacterial,
Cognition,Prospective memory,Viral Infections,76825,64816,12009,-0.0227493672795798,-0.043737611317029,-0.00176112324213066,"-0.02 (-0.04, -0.00)",0.0336350484095984,1,61-70,0.728,Viral,*
Cognition,Prospective memory,Acute Viral Infections,76825,67900,8925,-0.0247386385130607,-0.0485276885652787,-0.000949588460842646,"-0.02 (-0.05, -0.00)",0.0415301484410246,1,61-70,0.526,Acute Viral,*
Cognition,Prospective memory,Herpes Viral Infections,76825,69875,6950,-0.026964826125728,-0.0535696669101646,-0.000359985341291402,"-0.03 (-0.05, -0.00)",0.0469796931249004,1,61-70,0.17,Herpes,*
Cognition,Prospective memory,Other Potentially Persistent Viral Infections,76825,76707,118,0.104771877244935,-0.0892945353454021,0.298838289835272,"0.10 (-0.09, 0.30)",0.289988117395229,1,61-70,0.03,Other Viral,
Cognition,Prospective memory,Parasitic Infections,76825,76117,708,-0.0412690174731222,-0.120776150706469,0.0382381157602246,"-0.04 (-0.12, 0.04)",0.308987288728714,1,61-70,0.694,Parasitic,
Cognition,Prospective memory,Fungal Infections,76825,71727,5098,-0.00727837381532713,-0.0378033047304167,0.0232465570997624,"-0.01 (-0.04, 0.02)",0.640256699639424,1,61-70,0.107,Fungal,
Cognition,Prospective memory,Acute Infections,76825,50797,26028,-0.00503661526150969,-0.0211082430214873,0.0110350124984679,"-0.01 (-0.02, 0.01)",0.539062533241075,1,61-70,0.07,Acute,
Cognition,Prospective memory,Chronic Infections,76825,68466,8359,-0.0271605806228237,-0.0516316142744126,-0.00268954697123474,"-0.03 (-0.05, -0.00)",0.0296022385966136,1,61-70,0.592,Chronic,*
