Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Cognition,Trail making 2,All Infectious Diseases,33710,12464,21246,-0.0196850116312313,-0.0378451054670368,-0.00152491779542588,"-0.02 (-0.04, -0.00)",0.0336255869953633,1,61-70,0.506,Any,*
Cognition,Trail making 2,Bacterial Infections,33710,22804,10906,-0.00229729507049901,-0.0210372109693816,0.0164426208283836,"-0.00 (-0.02, 0.02)",0.810116713363497,1,61-70,0.709,Bacterial,
Cognition,Trail making 2,Invasive Bacterial Infections,33710,30649,3061,-0.0276601330218569,-0.058125694829327,0.00280542878561324,"-0.03 (-0.06, 0.00)",0.0751596056829031,1,61-70,0.767,Invasive,
Cognition,Trail making 2,Localised Bacterial Infections,33710,24546,9164,0.0028291217460343,-0.0168850426615302,0.0225432861535987,"0.00 (-0.02, 0.02)",0.778498318684527,1,61-70,0.609,Localised,
Cognition,Trail making 2,Bacterial Infections with Sepsis,33710,33614,96,-0.108685210586428,-0.272889436222565,0.055519015049709,"-0.11 (-0.27, 0.06)",0.194527212653426,1,61-70,0.394,Sepsis,
Cognition,Trail making 2,Bacterial Infections without Sepsis,33710,22845,10865,-0.00208647369340599,-0.0208451552932082,0.0166722079063962,"-0.00 (-0.02, 0.02)",0.827423469431788,1,61-70,0.691,No-Sepsis,
Cognition,Trail making 2,Extracellular Bacterial Infections,33710,31610,2100,-0.027575278326685,-0.0638314937218194,0.00868093706844935,"-0.03 (-0.06, 0.01)",0.136039830433874,1,61-70,0.805,Extracellular,
Cognition,Trail making 2,Intracellular Bacterial Infections,33710,33453,257,0.0608430820909644,-0.0397687835646741,0.161454947746603,"0.06 (-0.04, 0.16)",0.235910004720309,1,61-70,0.592,Intracellular,
Cognition,Trail making 2,Gram Positive Bacterial Infections,33710,32701,1009,-0.0701257734141822,-0.12149901821415,-0.0187525286142144,"-0.07 (-0.12, -0.02)",0.00746547480761158,1,61-70,0.762,Gram Positive,*
Cognition,Trail making 2,Gram Negative Bacterial Infections,33710,32405,1305,0.00190689813265327,-0.0434908121816535,0.04730460844696,"0.00 (-0.04, 0.05)",0.934384920234471,1,61-70,0.835,Gram Negative,
Cognition,Trail making 2,Mycobacterial Infections,33710,33569,141,0.082840936651766,-0.0527682690999396,0.218450142403472,"0.08 (-0.05, 0.22)",0.231180302764721,1,61-70,0.838,Mycobacterial,
Cognition,Trail making 2,Mycoplasma Infections,33710,33701,9,-0.0155586131220995,-0.551226704429032,0.520109478184833,"-0.02 (-0.55, 0.52)",0.954601543218881,1,61-70,0.638,Mycoplasma,
Cognition,Trail making 2,Acute Bacterial Infections,33710,22970,10740,-0.00491706992136924,-0.023734440871111,0.0139003010283725,"-0.00 (-0.02, 0.01)",0.608537874491982,1,61-70,0.727,Acute Bacterial,
Cognition,Trail making 2,Chronic Bacterial Infections,33710,33415,295,0.0256086726181111,-0.0683660949305808,0.119583440166803,"0.03 (-0.07, 0.12)",0.593261474921782,1,61-70,0.964,Chronic Bacterial,
Cognition,Trail making 2,Viral Infections,33710,16074,17636,-0.0279765190035275,-0.0455550171917432,-0.0103980208153118,"-0.03 (-0.05, -0.01)",0.00181352543850715,1,61-70,0.667,Viral,*
Cognition,Trail making 2,Acute Viral Infections,33710,19625,14085,-0.0289164740030545,-0.0467103397835446,-0.0111226082225645,"-0.03 (-0.05, -0.01)",0.00144778339717791,1,61-70,0.776,Acute Viral,*
Cognition,Trail making 2,Herpes Viral Infections,33710,18446,15264,-0.036576817963858,-0.054232618069307,-0.018921017858409,"-0.04 (-0.05, -0.02)",4.90730466203512e-05,0.0604579934362727,61-70,0.755,Herpes,*
Cognition,Trail making 2,Other Potentially Persistent Viral Infections,33710,33620,90,-0.0295074162369964,-0.199429772477805,0.140414940003812,"-0.03 (-0.20, 0.14)",0.733584113591123,1,61-70,0.121,Other Viral,
Cognition,Trail making 2,Parasitic Infections,33710,33311,399,0.00164351963348896,-0.0793646621796045,0.0826517014465824,"0.00 (-0.08, 0.08)",0.968280079282543,1,61-70,0.976,Parasitic,
Cognition,Trail making 2,Fungal Infections,33710,31979,1731,0.00062949072237556,-0.0390342634394294,0.0402932448841805,"0.00 (-0.04, 0.04)",0.975184329726133,1,61-70,0.836,Fungal,
Cognition,Trail making 2,Acute Infections,33710,15140,18570,-0.0193004716037112,-0.0369332250046625,-0.0016677182027599,"-0.02 (-0.04, -0.00)",0.031926739916633,1,61-70,0.525,Acute,*
Cognition,Trail making 2,Chronic Infections,33710,18182,15528,-0.0359413337318057,-0.0535647083529516,-0.0183179591106599,"-0.04 (-0.05, -0.02)",6.420029062931e-05,0.0790947580553099,61-70,0.749,Chronic,*
