Category,Characteristics,Predictors,N total,N control,N expose,Beta,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Age group,P interaction,Abbreviations,p_star
Movement,Usual walking pace,All Infectious Diseases,2394,1967,427,-0.171629597202719,-0.271090353473019,-0.0721688409324186,"-0.17 (-0.27, -0.07)",0.000726397152792024,0.894921292239774,71-80,<0.001,Any,*
Movement,Usual walking pace,Bacterial Infections,2515,2175,340,-0.281467531035634,-0.389938024344944,-0.172997037726324,"-0.28 (-0.39, -0.17)",3.88103269034446e-07,0.000478143227450437,71-80,<0.001,Bacterial,**
Movement,Usual walking pace,Invasive Bacterial Infections,2777,2644,133,-0.295833621483756,-0.460610309069626,-0.131056933897886,"-0.30 (-0.46, -0.13)",0.000437896622956683,0.539488639482633,71-80,<0.001,Invasive,*
Movement,Usual walking pace,Localised Bacterial Infections,2620,2362,258,-0.22680289527547,-0.349325692679364,-0.104280097871576,"-0.23 (-0.35, -0.10)",0.0002891167512729,0.356191837568213,71-80,<0.001,Localised,*
Movement,Usual walking pace,Bacterial Infections with Sepsis,2928,2921,7,-1.07523232161839,-1.77547336082517,-0.374991282411603,"-1.08 (-1.78, -0.37)",0.00262790182602387,1,71-80,0.002,Sepsis,*
Movement,Usual walking pace,Bacterial Infections without Sepsis,2518,2179,339,-0.283138872987223,-0.391732987260166,-0.17454475871428,"-0.28 (-0.39, -0.17)",3.41611380967759e-07,0.000420865221352279,71-80,<0.001,No-Sepsis,**
Movement,Usual walking pace,Extracellular Bacterial Infections,2897,2853,44,-0.246205832194769,-0.528125977020716,0.0357143126311783,"-0.25 (-0.53, 0.04)",0.08693231007629,1,71-80,<0.001,Extracellular,
Movement,Usual walking pace,Intracellular Bacterial Infections,2900,2881,19,-0.181519906834439,-0.607835489806337,0.244795676137458,"-0.18 (-0.61, 0.24)",0.403854957010293,1,71-80,0.174,Intracellular,
Movement,Usual walking pace,Gram Positive Bacterial Infections,2906,2873,33,-0.44599967453733,-0.770831212657784,-0.121168136416877,"-0.45 (-0.77, -0.12)",0.00713931751608356,1,71-80,<0.001,Gram Positive,*
Movement,Usual walking pace,Gram Negative Bacterial Infections,2912,2893,19,-0.105650318645566,-0.53242098640481,0.321120349113679,"-0.11 (-0.53, 0.32)",0.627424392441395,1,71-80,0.051,Gram Negative,
Movement,Usual walking pace,Mycobacterial Infections,2909,2892,17,-0.270841236996191,-0.721496098082347,0.179813624089966,"-0.27 (-0.72, 0.18)",0.238725535240894,1,71-80,0.584,Mycobacterial,
Movement,Usual walking pace,Mycoplasma Infections,2931,2931,0,0.0,0.0,0.0,/,/,/,71-80,0.103,Mycoplasma,
Movement,Usual walking pace,Acute Bacterial Infections,2539,2209,330,-0.294790119831343,-0.404753899899933,-0.184826339762754,"-0.29 (-0.40, -0.18)",1.58900011121956e-07,0.00019576481370225,71-80,<0.001,Acute Bacterial,**
Movement,Usual walking pace,Chronic Bacterial Infections,2896,2876,20,-0.282312354101837,-0.697603770960437,0.132979062756762,"-0.28 (-0.70, 0.13)",0.182659894109776,1,71-80,0.351,Chronic Bacterial,
Movement,Usual walking pace,Viral Infections,2785,2653,132,0.0767964888641697,-0.0900607858067895,0.243653763535129,"0.08 (-0.09, 0.24)",0.366884046826599,1,71-80,0.058,Viral,
Movement,Usual walking pace,Acute Viral Infections,2835,2737,98,0.144885054772773,-0.046652690525666,0.336422800071212,"0.14 (-0.05, 0.34)",0.138129287441283,1,71-80,0.245,Acute Viral,
Movement,Usual walking pace,Herpes Viral Infections,2867,2791,76,0.140811533041813,-0.0761252893124279,0.357748355396055,"0.14 (-0.08, 0.36)",0.203216331701775,1,71-80,0.15,Herpes,
Movement,Usual walking pace,Other Potentially Persistent Viral Infections,2928,2928,0,0.0,0.0,0.0,/,/,/,71-80,0.624,Other Viral,
Movement,Usual walking pace,Parasitic Infections,2916,2912,4,0.0902289946854055,-0.83739083477734,1.01784882414815,"0.09 (-0.84, 1.02)",0.848755087131349,1,71-80,0.331,Parasitic,
Movement,Usual walking pace,Fungal Infections,2837,2766,71,0.152223810828218,-0.0710115413102611,0.375459162966696,"0.15 (-0.07, 0.38)",0.181307569926626,1,71-80,<0.001,Fungal,
Movement,Usual walking pace,Acute Infections,2476,2091,385,-0.238395512437843,-0.341847882893188,-0.134943141982499,"-0.24 (-0.34, -0.13)",6.51463011593982e-06,0.00802602430283786,71-80,<0.001,Acute,**
Movement,Usual walking pace,Chronic Infections,2820,2723,97,0.0374692273529379,-0.154755394895121,0.229693849600996,"0.04 (-0.15, 0.23)",0.702334945232067,1,71-80,0.067,Chronic,
